fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2013,518766,364050,,11/20/2012,12/31/2012,5,,,,,,,,,
2013,519423,111310,,11/01/2012,12/31/2012,9,1989617.0,2220877.0,1525.0,10444.0,,203.0,24.0,70.0,28423.1
2013,522458,131311,,10/01/2012,03/31/2013,11,10468946.0,10820779.0,4550.0,20672.0,,731.0,236.0,312.0,33554.3141025641
2013,523781,132002,,02/01/2013,05/31/2013,4,4960368.0,3269456.0,7140.0,,,2215.0,28.0,127.0,39058.015748031496
2013,525622,452063,,01/01/2013,05/30/2013,4,12853537.0,10600340.0,14100.0,,,8032.0,,345.0,37256.62898550725
2013,533836,363304,,01/01/2013,12/31/2013,5,,,,,,,,,
2013,534132,314021,,01/01/2013,12/31/2013,4,30393266.0,21910139.0,40150.0,,,11487.0,3196.0,2533.0,11998.920647453613
2013,534755,042008,,12/01/2012,12/31/2012,1,934392.0,603512.0,775.0,,,584.0,,23.0,40625.739130434784
2013,535330,344028,,01/01/2013,12/31/2013,5,,,,,,,,,
2013,535331,344030,,01/01/2013,12/31/2013,5,,,,,,,,,
2013,535339,092002,,01/01/2013,12/31/2013,4,35509629.0,52052432.0,21900.0,,,10177.0,3038.0,570.0,62297.594736842104
2013,535340,092003,,01/01/2013,12/31/2013,4,22751639.0,41341422.0,29930.0,,,8216.0,6028.0,668.0,34059.33982035928
2013,535457,423300,,01/01/2013,12/31/2013,2,,,,,,,,,
2013,535535,263304,,01/01/2013,12/31/2013,2,,,,,,,,,
2013,535995,251332,,01/01/2013,12/31/2013,4,16631893.0,14813571.0,7665.0,40338.0,,2464.0,433.0,551.0,30184.923774954626
2013,536758,344029,,09/11/2013,12/31/2013,2,,,,,,,,,
2013,536770,491306,,01/01/2013,12/31/2013,4,11309553.0,10540920.0,9125.0,32113.48,,2434.0,10.0,398.0,28415.96231155779
2013,537689,670045,,01/01/2013,12/31/2013,4,32349670.0,25482809.0,1095.0,,,,,12.0,2695805.8333333335
2013,537825,364045,,06/18/2013,12/31/2013,5,,,,,,,,,
2013,538369,103303,,01/01/2013,12/31/2013,2,,,,,,,,,
2013,538469,244016,,01/01/2013,12/31/2013,4,,,,,,,,,
