fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2018,639197,051994,,01/01/2018,07/01/2018,1,,,,,,,,,
2018,644255,102012,,01/01/2018,03/31/2018,4,4729380.0,6699445.0,9630.0,,,1479.0,,99.0,47771.51515151515
2018,644427,014014,,10/01/2017,09/30/2018,9,,,,,,,,,
2018,645456,514011,,10/01/2017,09/30/2018,4,,,,,,,,,
2018,645801,453314,,10/01/2017,09/30/2018,1,,,,,,,,,
2018,646238,364058,,10/02/2017,12/31/2017,4,1691249.0,3778385.0,6552.0,,,447.0,,312.0,5420.669871794872
2018,646253,054154,,01/01/2018,12/31/2018,4,38824466.0,29853628.0,29200.0,,,6763.0,2872.0,2767.0,14031.249006143838
2018,646406,414003,,10/01/2017,09/30/2018,5,,,,,,,,,
2018,646859,222047,,10/01/2017,09/30/2018,4,29075495.0,29818781.0,21900.0,,,11807.0,297.0,822.0,35371.64841849148
2018,647566,282003,,03/01/2018,06/30/2018,1,8521458.0,9210726.0,5856.0,,,2722.0,,143.0,59590.61538461538
2018,647602,014015,,01/01/2018,12/31/2018,4,,,,,,,,,
2018,647686,400010,,10/01/2017,09/30/2018,2,,,,,,,,,
2018,647699,024001,,01/01/2018,12/31/2018,2,,,,,,,,,
2018,647747,222007,,10/01/2017,09/30/2018,2,118758407.0,127109126.0,243455.0,,,3354.0,175684.0,333.0,356631.85285285284
2018,647748,222048,,10/01/2017,09/30/2018,4,24966153.0,24856744.0,32120.0,,,10798.0,556.0,953.0,26197.432318992654
2018,648000,174022,,12/15/2017,06/30/2018,10,1999529.0,41309730.0,18980.0,,,1513.0,225.0,1020.0,1960.3225490196078
2018,648777,452106,,10/01/2017,09/30/2018,5,14262269.0,14441114.0,14600.0,,,7947.0,,756.0,18865.435185185186
2018,648941,244016,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,649794,263304,,01/01/2018,12/31/2018,2,,,,,,,,,
2018,650516,363308,,01/01/2018,12/31/2018,4,,,,,,,,,
2018,651087,501304,,01/01/2018,12/31/2018,11,20164208.0,38264523.0,3650.0,20057.0,,1081.0,30.0,303.0,66548.54125412542
2018,651134,363304,,01/01/2018,12/31/2018,5,,,,,,,,,
2018,651298,451301,,10/01/2017,09/30/2018,11,4873009.0,15115067.0,2555.0,1200.0,,88.0,,13.0,374846.8461538461
2018,651358,451375,,10/01/2017,09/30/2018,11,8191318.0,11856120.0,9125.0,10968.0,,206.0,6.0,138.0,59357.3768115942
2018,651543,451337,,10/01/2017,09/30/2018,11,8547125.0,10388291.0,9125.0,26544.0,,967.0,3.0,293.0,29171.07508532423
2018,651792,452051,,03/01/2018,04/30/2018,2,2672015.0,2094814.0,2196.0,,,1084.0,,59.0,45288.38983050847
2018,651802,194078,,01/01/2018,02/15/2018,4,700932.0,731079.0,1104.0,,,173.0,31.0,107.0,6550.7663551401865
2018,652003,224039,,10/01/2017,09/30/2018,4,16451042.0,22138274.0,25915.0,,,8668.0,385.0,2102.0,7826.375832540438
2018,652152,330387,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,652647,143302,,01/01/2018,12/31/2018,6,,,,,,,,,
2018,652657,243303,,01/01/2018,11/30/2018,6,,,,,,,,,
2018,652661,333301,,01/01/2018,12/31/2018,6,,,,,,,,,
2018,652667,344031,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,652674,423300,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,652750,223303,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,652751,223304,,01/01/2018,12/31/2018,3,,,,,,,,,
2018,652864,104057,,10/01/2017,09/30/2018,4,14584174.0,18515348.0,24090.0,,,10423.0,,3080.0,4735.121428571429
2018,652891,330409,,01/01/2018,12/31/2018,6,,,,,,,,,
2018,652892,334064,,04/01/2018,03/31/2019,6,,,,,,,,,
2018,652893,334065,,04/01/2018,03/31/2019,6,,,,,,,,,
2018,652894,334066,,04/01/2018,03/31/2019,6,,,,,,,,,
2018,654198,104070,,01/01/2018,12/31/2018,4,15894251.0,12938729.0,27450.0,,,15430.0,,1318.0,12059.371016691957
2018,654632,404007,,01/01/2018,12/31/2018,4,8897805.0,8202291.0,15695.0,,,843.0,,1167.0,7624.511568123393
2018,654822,014013,,07/01/2018,06/30/2019,4,,,,,,,,,
2018,655608,451353,,10/01/2017,09/30/2018,8,6553658.0,7838656.0,9125.0,5544.0,,447.0,,70.0,93623.68571428572
