fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2019,708627,102030,,12/01/2018,11/30/2019,4,19585667.0,15358325.0,12410.0,,,5321.0,,368.0,53221.921195652176
2019,708641,152020,,07/01/2019,06/30/2020,1,29411040.0,27351809.0,26352.0,,,6122.0,,397.0,74083.2241813602
2019,708671,324013,,01/01/2019,12/31/2019,4,11216681.0,11571255.0,17520.0,,,2850.0,108.0,1961.0,5719.878123406425
2019,708686,452105,,01/01/2019,12/31/2019,2,11583840.0,19616169.0,9125.0,,,1865.0,109.0,194.0,59710.51546391752
2019,708687,454107,,01/01/2019,12/31/2019,4,24386398.0,23677625.0,44530.0,,,5208.0,254.0,3842.0,6347.3185840707965
2019,708695,010033,,10/01/2018,09/30/2019,10,1785283427.0,1892729039.0,401256.0,,10370640.0,75093.0,85691.0,53894.0,33125.82897910714
2019,708719,050058,,02/01/2019,12/31/2019,2,179103053.0,213686008.0,80494.0,,1820916.0,10668.0,4069.0,7224.0,24792.78142303433
2019,708725,050089,,07/01/2019,12/31/2019,2,96884138.0,126011791.0,34040.0,183.0,220968.0,1082.0,8306.0,3752.0,25821.998400852877
2019,708734,050138,,01/01/2019,12/31/2019,2,,980010939.0,167900.0,,537248.0,3526.0,14612.0,24148.0,
2019,708741,050231,,01/01/2019,12/31/2019,2,648540908.0,637823120.0,149096.0,,2675352.0,13157.0,20664.0,20189.0,32123.47852791124
2019,708744,050238,,01/01/2019,12/31/2019,2,292967505.0,284278140.0,116070.0,,4607780.0,29158.0,4135.0,14148.0,20707.3441475827
2019,708746,050242,,07/01/2019,06/30/2020,1,454997679.0,418543343.0,73932.0,,4257748.0,19710.0,3071.0,8970.0,50724.37892976589
2019,708757,050744,,09/01/2019,08/31/2020,4,82290916.0,95924674.0,37698.0,,259160.0,2572.0,3921.0,3662.0,22471.577280174766
2019,708783,110079,,01/01/2019,12/31/2019,9,1051926605.0,1324614432.0,246010.0,,4511604.0,34017.0,53758.0,34700.0,30314.887752161383
2019,708796,130006,,10/01/2018,09/30/2019,2,1605165760.0,1578196801.0,204035.0,,6910932.0,28469.0,23865.0,29364.0,54664.41084320937
2019,708803,171374,,01/01/2019,12/31/2019,12,9668410.0,12235935.0,9125.0,17856.0,,1237.0,,248.0,38985.52419354839
2019,708876,460004,,01/01/2019,12/31/2019,2,554933441.0,505966758.0,84315.0,,3866866.0,12268.0,7085.0,15452.0,35913.37309086203
2019,708889,490052,,01/01/2019,12/31/2019,2,744501778.0,841769279.0,136587.0,,6887500.0,37809.0,7488.0,20975.0,35494.72123957092
2019,708923,511308,,01/01/2019,12/31/2019,2,16223355.0,18448502.0,9125.0,23928.0,,498.0,25.0,320.0,50697.984375
2019,708940,050045,,07/01/2019,06/30/2020,13,146480257.0,173633604.0,58926.0,,1905068.0,9672.0,2336.0,5224.0,28039.8654287902
2019,708942,050047,,01/01/2019,12/31/2019,2,944512441.0,789675390.0,111410.0,,3302240.0,23828.0,4573.0,13517.0,69875.89265369535
2019,708943,050054,,07/01/2019,06/30/2020,11,47018140.0,87817326.0,22326.0,,557485.0,2155.0,453.0,2637.0,17830.163064087978
2019,708948,050082,,07/01/2019,06/30/2020,1,401077027.0,425455412.0,111264.0,653.0,3670128.0,19490.0,4165.0,8599.0,46642.28712641005
2019,708959,050115,,07/01/2019,06/30/2020,11,561403670.0,548591662.0,107881.0,,4076776.0,16798.0,10155.0,22724.0,24705.319045942615
2019,708960,050116,,02/01/2019,12/31/2019,1,370277809.0,382179313.0,106212.0,,3000752.0,14961.0,5649.0,11732.0,31561.354330037506
2019,708964,050129,,07/01/2019,06/30/2020,2,378816340.0,425699142.0,112728.0,,1748912.0,9878.0,6845.0,14422.0,26266.560809873805
2019,708968,050152,,07/01/2019,12/31/2019,2,98099491.0,111495022.0,28704.0,,474672.0,2459.0,1259.0,1731.0,56672.14962449451
2019,708969,050158,,01/01/2019,12/31/2019,2,51989216.0,60914786.0,29930.0,,853276.0,3215.0,,1740.0,29878.85977011494
2019,708971,050167,,07/01/2019,06/30/2020,9,341196528.0,430577517.0,71736.0,,1411845.0,6064.0,11618.0,10359.0,32937.20706631914
2019,708976,050191,,07/01/2019,06/30/2020,2,365080104.0,379071344.0,96075.0,,1437084.0,10226.0,8636.0,11628.0,31396.637770897833
2019,708981,050228,,07/01/2019,06/30/2020,8,872977719.0,1164214344.0,103944.0,,2893000.0,18858.0,16763.0,15525.0,56230.44888888889
2019,708990,050280,,07/01/2019,06/30/2020,1,528282126.0,491934861.0,97356.0,,5960944.0,28623.0,4504.0,13064.0,40438.00719534599
2019,708997,050308,,07/01/2019,06/30/2020,11,956711510.0,885172892.0,142008.0,,5565516.0,25074.0,2347.0,21721.0,44045.46337645596
2019,709000,050315,,07/01/2019,06/30/2020,9,451430358.0,428897474.0,81252.0,,820044.0,4328.0,18060.0,10343.0,43645.97872957556
2019,709007,050350,,01/01/2019,12/31/2019,2,188692476.0,194164870.0,73730.0,,1588436.0,10746.0,,11666.0,16174.565060860621
2019,709022,050426,,01/01/2019,12/31/2019,4,126815826.0,113981117.0,60955.0,,1932428.0,10059.0,,6616.0,19168.05108827086
2019,709023,050441,,09/01/2019,08/31/2020,2,3976584396.0,4734759011.0,191703.0,,9551652.0,56889.0,8582.0,26110.0,152301.20245116812
2019,709029,050471,,09/01/2019,12/22/2019,2,100756746.0,121645150.0,35030.0,,938432.0,5396.0,6043.0,3721.0,27077.867777479172
2019,709034,050503,,10/01/2018,09/30/2019,2,323608315.0,295082681.0,62415.0,,3864496.0,15559.0,2264.0,11960.0,27057.55142140468
2019,709041,050549,,01/01/2019,12/31/2019,4,526367560.0,406626235.0,104025.0,,6793720.0,35043.0,3597.0,15891.0,33123.62721037065
2019,709047,050588,,01/01/2019,12/31/2019,4,50283643.0,50959196.0,36865.0,,833308.0,4294.0,,3416.0,14720.036007025761
2019,709066,050724,,01/01/2019,12/31/2019,4,80696226.0,75236660.0,17155.0,,1723100.0,7568.0,232.0,2979.0,27088.36052366566
2019,709070,050740,,07/01/2019,06/30/2020,2,134525312.0,134755557.0,37698.0,,1562396.0,7522.0,1411.0,4599.0,29250.991954772777
2019,709071,050746,,09/01/2019,08/31/2020,4,174234766.0,203732187.0,92964.0,,912824.0,7020.0,9184.0,6911.0,25211.22355664882
2019,709076,050763,,03/04/2019,12/31/2019,4,68084281.0,69606204.0,71604.0,,1970956.0,26565.0,,5235.0,13005.593314231137
2019,709083,050779,,07/01/2019,06/30/2020,2,100062612.0,325731226.0,47946.0,,924880.0,5359.0,8488.0,8725.0,11468.494212034384
2019,709085,050782,,04/01/2019,03/31/2020,2,82208646.0,89083605.0,11346.0,,493856.0,2010.0,,1259.0,65296.77998411438
2019,709087,051301,,01/01/2019,12/31/2019,1,37142865.0,40670057.0,7605.0,44808.0,,796.0,1593.0,645.0,57585.83720930233
2019,709088,051331,,01/01/2019,12/31/2019,2,21691397.0,18638675.0,4015.0,12600.0,,381.0,,174.0,124663.20114942528
2019,709147,210016,,01/01/2019,12/31/2019,1,253927613.0,265481663.0,67343.0,,3341129.0,21237.0,15406.0,11568.0,21950.86557745505
2019,709178,290007,,07/01/2019,06/30/2020,9,591637891.0,730361581.0,182268.0,,2691392.0,18225.0,20913.0,22271.0,26565.394055049168
2019,709181,290012,,07/01/2019,06/30/2020,1,24399259.0,29478190.0,3660.0,,63316.0,464.0,127.0,280.0,87140.21071428571
2019,709187,290054,,01/01/2019,12/31/2019,4,267495440.0,215861987.0,90520.0,,3253784.0,16995.0,5852.0,15467.0,17294.59106484774
2019,709222,362027,,12/01/2018,11/30/2019,4,26967837.0,25135396.0,21900.0,,,5099.0,982.0,574.0,46982.29442508711
2019,709288,034020,,07/01/2019,06/30/2020,4,15673722.0,14203132.0,20862.0,,,2637.0,10.0,2052.0,7638.266081871345
2019,709292,050017,,07/01/2019,06/30/2020,1,622565861.0,595356921.0,142374.0,,3254548.0,14726.0,5508.0,12641.0,49249.73190412151
2019,709293,050025,,07/01/2019,06/30/2020,10,2208234284.0,2512713948.0,250637.0,,6518204.0,47622.0,24667.0,32499.0,67947.76097726084
2019,709305,050245,,07/01/2019,06/30/2020,9,339423546.0,771574868.0,133956.0,,1507322.0,10216.0,17313.0,17471.0,19427.825882891648
2019,709312,050516,,07/01/2019,06/30/2020,1,712823192.0,701378585.0,135420.0,,5097796.0,23157.0,13487.0,19290.0,36952.99077242094
2019,709345,110029,,10/01/2018,09/30/2019,2,1160664593.0,1050240614.0,197830.0,,11234008.0,58619.0,15034.0,36193.0,32068.758958914706
2019,709346,110034,,07/01/2019,06/30/2020,10,683593440.0,865407862.0,169778.0,,3580720.0,24339.0,13333.0,20108.0,33996.093097274716
