fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2015,556684,454129,,10/28/2014,12/31/2014,4,,,,,,,,,
2015,571051,660001,,10/01/2014,09/30/2015,13,,38906153.0,27010.0,,,,,3027.0,
2015,572181,341317,,10/01/2014,09/30/2015,4,22589753.0,24243310.0,9125.0,40560.0,,2095.0,18.0,444.0,50877.82207207207
2015,572654,514011,,10/01/2014,09/30/2015,1,,,,,,,,,
2015,573836,424003,,07/01/2015,12/16/2015,3,,,,,,,,,
2015,574342,271326,,01/01/2015,06/30/2015,2,6520474.0,6206796.0,1810.0,6168.0,,502.0,15.0,100.0,65204.74
2015,574740,234025,,10/01/2014,09/30/2015,10,,48004517.0,74460.0,,,796.0,4138.0,140.0,
2015,574845,414003,,10/01/2014,09/30/2015,5,,,,,,,,,
2015,574902,154060,,12/05/2014,06/30/2015,2,11566417.0,16428703.0,3328.0,,,172.0,,162.0,71397.63580246913
2015,576474,034031,,02/04/2015,05/31/2015,4,2010961.0,4028850.0,11832.0,,,224.0,,487.0,4129.283367556468
2015,576696,234041,,10/01/2014,09/30/2015,10,,72687631.0,86140.0,,,1191.0,2745.0,242.0,
2015,576827,363304,,01/01/2015,12/31/2015,4,,,,,,,,,
2015,576920,344028,,01/01/2015,12/31/2015,1,,,,,,,,,
2015,577041,344030,,01/01/2015,12/31/2015,5,,,,,,,,,
2015,577490,263304,,01/01/2015,12/31/2015,2,,,,,,,,,
2015,577531,420016,,01/01/2015,12/31/2015,9,7181260.0,10994170.0,3650.0,,116178.0,824.0,46.0,300.0,23937.533333333333
2015,577942,244016,,01/01/2015,12/31/2015,4,,,,,,,,,
2015,578391,304001,,01/01/2015,12/31/2015,3,,,,,,,,,
2015,578626,423300,,01/01/2015,12/31/2015,3,,,,,,,,,
2015,578773,251332,,01/01/2015,12/31/2015,4,13274932.0,13646899.0,7056.0,28872.0,,2023.0,359.0,404.0,32858.74257425743
2015,578938,453311,,01/01/2015,12/31/2015,2,,,,,,,,,
2015,579540,491306,,01/01/2015,12/31/2015,4,14218791.0,13563349.0,9125.0,35808.0,,2991.0,10.0,395.0,35996.939240506326
2015,579622,264029,,01/01/2015,04/07/2015,2,1872550.0,2178094.0,2450.0,,,408.0,568.0,359.0,5216.016713091922
2015,579747,374017,,01/01/2015,12/31/2015,4,,,,,,,,,
2015,579885,363308,,01/01/2015,12/31/2015,6,,,,,,,,,
2015,580083,223303,,01/01/2015,12/31/2015,3,,,,,,,,,
2015,580084,223304,,01/01/2015,12/31/2015,3,,,,,,,,,
2015,580146,183300,,01/01/2015,12/31/2015,5,,,,,,,,,
2015,580312,104073,,11/01/2014,10/31/2015,4,19183000.0,16014612.0,31390.0,,,4120.0,,2761.0,6947.844983701558
2015,580348,453308,,01/01/2015,09/19/2015,1,,,,,,,,,
2015,580589,103303,,01/01/2015,12/31/2015,4,,,,,,,,,
2015,580684,364045,,01/01/2015,06/30/2015,4,,,,,,,,,
2015,580803,012010,,10/01/2014,12/31/2014,2,2694697.0,2256465.0,3496.0,,,1979.0,,89.0,30277.494382022473
2015,580863,333301,,01/01/2015,12/31/2015,3,,,,,,,,,
2015,580912,104008,,10/01/2014,09/30/2015,4,24243654.0,24997655.0,16060.0,,,1346.0,,1602.0,15133.367041198502
2015,580923,152027,,11/01/2014,10/31/2015,6,11376496.0,11147756.0,17520.0,,,4462.0,,253.0,44966.387351778656
2015,580929,453312,,01/01/2015,12/31/2015,10,,,,,,,,,
2015,580944,143302,,01/01/2015,12/31/2015,1,,,,,,,,,
2015,580945,243303,,01/01/2015,12/31/2015,1,,,,,,,,,
2015,581011,453316,,07/01/2015,12/31/2015,2,,,,,,,,,
2015,581120,134011,,01/01/2015,04/09/2015,4,2674569.0,2932183.0,1386.0,,,716.0,162.0,113.0,23668.75221238938
2015,581148,132001,,10/01/2014,09/30/2015,4,16231220.0,16223003.0,14600.0,,,7001.0,960.0,416.0,39017.355769230766
2015,581178,232020,,10/01/2014,09/30/2015,2,8584631.0,7850434.0,11315.0,,,6315.0,78.0,304.0,28238.917763157893
2015,581179,034004,,01/01/2015,12/31/2015,2,26679615.0,33121516.0,35040.0,,,1662.0,13905.0,3953.0,6749.2069314444725
2015,581185,162003,,01/01/2015,12/31/2015,4,9805844.0,10194129.0,10950.0,,,5504.0,,209.0,46917.91387559809
2015,581212,281310,,01/01/2015,12/31/2015,2,8114130.0,8454707.0,3650.0,1626.56,,125.0,30.0,30.0,270471.0
2015,581347,334065,,12/18/2014,03/31/2015,10,,,,,,,,,
2015,581402,362023,,11/01/2014,10/31/2015,6,18098266.0,14936608.0,15330.0,,,5536.0,510.0,398.0,45473.030150753766
2015,581453,494021,,10/01/2014,06/30/2015,10,7853761.0,54276251.0,22932.0,,,3776.0,,419.0,18744.059665871122
2015,581475,032004,,01/01/2015,02/14/2015,4,1561832.0,1784680.0,1440.0,,,652.0,38.0,40.0,39045.8
2015,581492,154061,,01/30/2015,12/31/2015,6,8288895.0,7978824.0,10080.0,,,7118.0,,430.0,19276.5
2015,581493,154062,,04/30/2015,12/31/2015,4,5126544.0,6018743.0,5412.0,,,3932.0,37.0,351.0,14605.538461538461
2015,581494,154063,,09/21/2015,12/31/2015,5,2413800.0,2320218.0,3570.0,,,1704.0,,118.0,20455.93220338983
2015,581625,190257,,01/01/2015,02/28/2015,5,-9224.0,2896066.0,4380.0,,15076.0,52.0,,29.0,-318.0689655172414
2015,581732,154057,,01/01/2015,12/31/2015,4,12337829.0,11316845.0,14600.0,,,4215.0,1607.0,1374.0,8979.497088791848
2015,581733,154058,,01/01/2015,12/31/2015,5,11545086.0,8615629.0,13505.0,,,10581.0,12.0,678.0,17028.150442477876
2015,581750,101302,,10/01/2014,09/30/2015,9,4552261.0,5258516.0,9125.0,6312.0,,1647.0,,78.0,58362.320512820515
2015,581766,154059,,01/01/2015,12/31/2015,4,12091534.0,10485606.0,17520.0,,,4283.0,51.0,1581.0,7648.029095509171
2015,581770,031304,,01/01/2015,12/31/2015,2,17786133.0,12978501.0,9125.0,26698.0,,175.0,623.0,457.0,38919.32822757112
2015,581772,102012,,01/01/2015,12/31/2015,4,25793890.0,28446690.0,39055.0,,,11600.0,,560.0,46060.517857142855
2015,581773,192036,,01/01/2015,12/31/2015,5,15404068.0,13345882.0,14600.0,,,7898.0,12.0,366.0,42087.6174863388
2015,581813,234035,,10/01/2014,09/30/2015,10,,49172886.0,58765.0,,,560.0,4269.0,246.0,
2015,581869,264030,,01/01/2015,12/31/2015,4,6677674.0,7404551.0,8760.0,,,1300.0,166.0,1288.0,5184.52950310559
2015,581931,334064,,04/01/2015,03/31/2016,10,,,,,,,,,
2015,581934,334065,,04/01/2015,03/31/2016,10,,,,,,,,,
2015,582230,171366,,01/01/2015,12/31/2015,11,8253323.0,8940027.0,9125.0,,,896.0,74.0,149.0,55391.42953020134
2015,582417,262015,,01/01/2015,12/31/2015,5,15052559.0,13307314.0,10950.0,,,6449.0,982.0,356.0,42282.4691011236
2015,582673,393309,,01/01/2015,12/31/2015,2,,,,,,,,,
2015,582686,171306,,01/01/2015,12/31/2015,9,6742010.0,7685293.0,9125.0,4663.15,,519.0,861.0,69.0,97710.28985507246
2015,582808,452031,,01/01/2015,06/30/2015,2,5989908.0,4540611.0,4706.0,,,2359.0,,113.0,53008.03539823009
2015,582809,452093,,03/01/2015,05/29/2015,2,1731451.0,2277456.0,2700.0,,,1144.0,,75.0,23086.013333333332
2015,583013,174004,,07/01/2015,12/21/2015,10,9484820.0,15978546.0,25258.0,,,2371.0,769.0,606.0,15651.518151815182
2015,583587,171356,,10/01/2014,09/30/2015,11,9315934.0,9897264.0,3650.0,,,858.0,,82.0,113608.9512195122
2015,583616,451321,,10/01/2014,05/18/2015,11,3781958.0,5090202.0,3450.0,7752.0,,414.0,,96.0,39395.395833333336
2015,583656,210065,,10/01/2014,06/30/2015,1,36159757.0,62122511.0,25389.0,,775816.0,4779.0,1989.0,2600.0,13907.598846153845
2015,583660,494030,,10/01/2014,06/30/2015,10,13591420.0,75423523.0,10920.0,,,409.0,,181.0,75090.7182320442
2015,583774,171309,,01/01/2015,12/31/2015,9,3855867.0,4470716.0,8972.0,1848.0,,348.0,,31.0,124382.80645161291
2015,583785,264012,,01/01/2015,12/31/2015,4,48001255.0,49115337.0,37960.0,,,6720.0,3760.0,4418.0,10864.928700769578
2015,583800,171304,,01/01/2015,12/31/2015,11,4083402.0,5938857.0,9026.0,5160.0,,627.0,,69.0,59179.739130434784
2015,583826,104057,,10/01/2014,09/30/2015,4,16902303.0,18166146.0,24090.0,,,14855.0,,2386.0,7083.949287510478
2015,583922,060043,,01/01/2015,04/01/2015,9,1220223.0,1213122.0,1001.0,,6374.0,31.0,5.0,12.0,101685.25
2015,584199,154005,,01/01/2015,12/31/2015,2,2031709.0,11114260.0,5840.0,,,715.0,206.0,516.0,3937.420542635659
2015,584352,670102,,12/19/2014,01/20/2016,3,,,,,,,,,
2015,584504,014015,,01/01/2015,12/31/2015,4,,,,,,,,,
2015,584639,670109,,06/23/2015,12/31/2015,3,,,,,,,,,
2015,584704,251337,,01/01/2015,09/30/2015,9,9469610.0,10252373.0,6825.0,24192.0,,2500.0,56.0,302.0,31356.324503311258
2015,584737,670100,,12/03/2014,06/30/2015,4,1736761.0,5413716.0,9660.0,,1260.0,828.0,,57.0,30469.491228070176
2015,586186,261334,,10/01/2014,09/30/2015,4,6097322.0,9172865.0,5475.0,5880.0,,551.0,24.0,84.0,72587.16666666667
2015,586943,440168,,01/01/2015,03/28/2015,1,733589.0,1569905.0,870.0,,2520.0,8.0,,2.0,366794.5
2015,586944,523302,,01/01/2015,12/31/2015,2,20562463.0,24084085.0,15330.0,,,,1003.0,489.0,42050.026584867075
2015,587693,262020,,01/01/2015,12/31/2015,5,17377381.0,16814603.0,15330.0,,,6703.0,2219.0,402.0,43227.31592039801
2015,587707,522005,,01/01/2015,12/31/2015,4,22069917.0,23075210.0,14235.0,,,4027.0,2285.0,247.0,89351.89068825911
2015,587726,451372,,10/01/2014,02/28/2015,11,2079204.0,3413115.0,3775.0,6140.0,,407.0,,78.0,26656.46153846154
2015,587794,111330,,11/06/2014,06/30/2015,4,17632167.0,14029020.0,5925.0,7128.0,,1753.0,5.0,80.0,220402.0875
2015,587796,171324,,01/01/2015,12/31/2015,11,9541195.0,13403898.0,4745.0,6984.0,,706.0,,103.0,92632.96116504855
2015,587816,262017,,11/01/2014,10/31/2015,4,18315107.0,21122742.0,16060.0,,,6531.0,3312.0,531.0,34491.726930320154
2015,587935,371332,,10/01/2014,06/30/2015,4,1947141.0,2682309.0,4914.0,8040.0,,707.0,9.0,117.0,16642.23076923077
2015,587980,261319,,01/01/2015,02/28/2015,9,5856021.0,5748946.0,1475.0,11376.0,,384.0,38.0,129.0,45395.51162790698
2015,587996,344001,,07/01/2015,06/30/2016,3,,,,,,,,,
2015,587997,424013,,07/01/2015,06/30/2016,3,,,,,,,,,
2015,588013,232037,,01/01/2015,12/31/2015,2,15462122.0,13673204.0,13140.0,,,14709.0,28.0,313.0,49399.750798722045
2015,588034,171314,,01/01/2015,12/31/2015,2,4954921.0,5200285.0,9125.0,596.0,,929.0,,8.0,619365.125
2015,588035,171335,,01/01/2015,12/31/2015,11,13452898.0,16317635.0,6205.0,10147.4,,619.0,1.0,155.0,86792.89032258064
2015,588055,464007,,07/01/2015,06/30/2016,2,,,,,,,,,
2015,588132,171322,,01/01/2015,12/31/2015,9,4174544.0,7314573.0,9125.0,,,339.0,17.0,71.0,58796.394366197186
2015,588203,154054,,01/01/2015,12/31/2015,4,10074745.0,6966445.0,16060.0,,,3651.0,6738.0,1617.0,6230.516388373531
2015,588222,171323,,01/01/2015,12/31/2015,9,3306730.0,3869418.0,9125.0,3020.0,,587.0,,54.0,61235.74074074074
2015,588223,171369,,01/01/2015,12/31/2015,9,6374145.0,7679462.0,4745.0,12988.76,,1092.0,,220.0,28973.386363636364
2015,588226,261339,,07/02/2015,12/31/2015,2,2974190.0,3706039.0,1464.0,3096.0,,58.0,12.0,57.0,52178.771929824565
2015,588252,493302,,07/01/2015,06/30/2016,3,,,,,,,,,
2015,588295,171312,,01/01/2015,12/31/2015,9,4168877.0,5368109.0,4380.0,4110.0,,511.0,33.0,59.0,70658.93220338984
2015,588694,192049,,01/01/2015,12/31/2015,4,16847996.0,15108599.0,20805.0,,,6191.0,,479.0,35173.269311064716
2015,588706,171343,,01/01/2015,12/31/2015,9,6765824.0,9653398.0,5840.0,6216.0,,660.0,6.0,108.0,62646.51851851852
2015,588828,051315,,01/01/2015,12/31/2015,9,17911652.0,15030099.0,9125.0,24936.0,,1580.0,,294.0,60923.986394557825
2015,588833,271329,,10/01/2014,09/30/2015,2,5734997.0,6482715.0,3650.0,10620.0,,799.0,34.0,158.0,36297.44936708861
2015,588939,184013,,07/01/2015,06/30/2016,4,,,,,,,,,
2015,588948,014009,,10/01/2014,06/30/2015,2,8968118.0,8544389.0,21567.0,,,175.0,,332.0,27012.40361445783
2015,589050,281319,,10/01/2014,09/30/2015,2,16695931.0,17047982.0,6413.0,12976.0,,899.0,32.0,188.0,88808.14361702128
2015,589051,281341,,10/01/2014,09/30/2015,2,18596731.0,21968861.0,9125.0,35747.91,,957.0,287.0,529.0,35154.500945179585
2015,589151,264031,,06/30/2015,12/31/2015,6,1511401.0,1780359.0,2590.0,,,399.0,395.0,119.0,12700.848739495797
2015,589221,172006,,01/01/2015,03/13/2015,4,2102536.0,2734096.0,2448.0,,,1125.0,,58.0,36250.620689655174
2015,589242,454130,,11/05/2014,12/31/2014,4,211924.0,1021370.0,2736.0,,,415.0,,38.0,5576.9473684210525
2015,589290,373300,,07/01/2015,06/30/2016,2,,,,,,,,,
2015,589299,521303,,10/01/2014,12/31/2014,2,2823825.0,3629696.0,2300.0,4803.0,,317.0,48.0,51.0,55369.117647058825
2015,589317,234038,,01/01/2015,12/31/2015,5,25822731.0,21005454.0,37960.0,,,9367.0,,3416.0,7559.347482435597
2015,589340,030135,,01/01/2015,04/30/2015,1,,,,,,,,,
2015,589434,294003,,11/01/2014,10/31/2015,4,16920684.0,13645635.0,34675.0,,,4996.0,2803.0,3325.0,5088.927518796992
2015,589570,374001,,07/01/2015,06/30/2016,10,6415959.0,12901339.0,7616.0,,,847.0,157.0,496.0,12935.401209677419
2015,589577,450253,,01/01/2015,06/30/2015,11,8138212.0,5815928.0,5792.0,,38380.0,277.0,2.0,75.0,108509.49333333333
2015,589586,154008,,07/01/2015,06/30/2016,4,,,,,,,,,
2015,589598,144005,,01/01/2015,12/31/2015,4,35841870.0,33918903.0,51465.0,,,4799.0,11680.0,4875.0,7352.178461538461
2015,589615,264028,,07/01/2015,06/30/2016,10,,,,,,,,,
2015,589846,042010,,11/01/2014,01/31/2015,4,3002170.0,3079904.0,3680.0,,,1448.0,,80.0,37527.125
2015,589849,192041,,01/01/2015,12/31/2015,4,3300305.0,3683113.0,5840.0,,,1931.0,92.0,110.0,30002.772727272728
2015,589884,364045,,07/01/2015,06/30/2016,5,,,,,,,,,
2015,589924,184006,,07/01/2015,06/30/2016,5,,,,,,,,,
2015,590354,154055,,01/01/2015,12/31/2015,4,8831665.0,8835385.0,17520.0,,,2663.0,10.0,1555.0,5679.527331189711
2015,590433,171349,,10/01/2014,09/30/2015,2,13402603.0,15725579.0,8030.0,28117.15,,2009.0,4.0,346.0,38735.846820809245
2015,590434,171359,,01/01/2015,12/31/2015,9,8119274.0,10308147.0,6570.0,12888.0,,1775.0,,189.0,42959.12169312169
2015,590488,371335,,10/01/2014,09/30/2015,4,5718446.0,7454190.0,9125.0,16800.0,,2476.0,50.0,218.0,26231.403669724772
2015,590664,264024,,01/01/2015,12/31/2015,4,28504261.0,22594413.0,73000.0,,,2447.0,51422.0,2444.0,11662.954582651391
2015,590735,371333,,10/01/2014,09/30/2015,13,4950512.0,16698454.0,9125.0,13608.0,,216.0,73.0,190.0,26055.326315789473
2015,590737,452095,,10/01/2014,01/31/2015,6,6934671.0,6388373.0,9102.0,,,3799.0,,200.0,34673.355
2015,590791,371311,,10/01/2014,09/30/2015,9,2065019.0,3345401.0,9125.0,10003.0,,578.0,37.0,108.0,19120.546296296296
2015,590794,451362,,10/01/2014,09/30/2015,9,5283085.0,7397522.0,9125.0,13152.0,,653.0,3.0,195.0,27092.74358974359
2015,590922,453306,,07/01/2015,06/30/2016,1,,,,,,,,,
2015,590983,171331,,01/01/2015,12/31/2015,11,4566437.0,5652118.0,3650.0,,,565.0,,68.0,67153.48529411765
2015,591004,271319,,11/01/2014,10/31/2015,2,5183483.0,5423607.0,3650.0,11302.0,,682.0,1.0,122.0,42487.565573770495
2015,591028,371323,,10/01/2014,09/30/2015,12,17546117.0,18640590.0,9125.0,43065.0,,1502.0,591.0,582.0,30147.96735395189
2015,591068,172005,,11/01/2014,10/31/2015,10,16514927.0,18174739.0,14600.0,,,7036.0,270.0,386.0,42784.784974093265
2015,591082,452054,,01/01/2015,03/31/2015,4,3404099.0,2176958.0,3870.0,,,1140.0,,89.0,38248.30337078652
2015,591087,171368,,01/01/2015,12/31/2015,11,8906282.0,10910080.0,6570.0,16248.0,,1311.0,,211.0,42209.867298578196
2015,591103,171358,,10/01/2014,09/30/2015,2,9331090.0,8715155.0,8395.0,16550.0,,1818.0,7.0,234.0,39876.45299145299
2015,591105,452066,,01/01/2015,03/31/2015,4,1639910.0,1695649.0,4230.0,,,902.0,,55.0,29816.545454545456
2015,591111,192031,,02/01/2015,08/31/2015,4,10887546.0,11191495.0,9964.0,,,7553.0,13.0,327.0,33295.247706422015
2015,591141,271339,,10/01/2014,09/30/2015,7,,40741182.0,8760.0,13464.0,,231.0,,240.0,
2015,591252,374024,,01/16/2015,08/31/2015,4,25389762.0,21699144.0,15436.0,,,468.0,,1124.0,22588.756227758007
2015,591333,351312,,01/01/2015,12/31/2015,2,10938814.0,11306447.0,4380.0,5677.0,,1259.0,147.0,77.0,142062.5194805195
2015,591378,171336,,01/01/2015,12/31/2015,11,7438455.0,8890894.0,7300.0,7118.0,,559.0,9.0,95.0,78299.52631578948
2015,591419,234011,,01/01/2015,12/31/2015,2,18107175.0,23465067.0,49640.0,,,2911.0,,3794.0,4772.5817079599365
2015,591423,264018,,01/01/2015,12/31/2015,2,27729778.0,29333130.0,16790.0,,,,6316.0,2347.0,11814.988495952279
2015,591425,522007,,01/01/2015,12/31/2015,4,19941513.0,20837878.0,22630.0,,,4373.0,2241.0,381.0,52339.92913385827
2015,591465,192013,,02/01/2015,08/31/2015,4,4946833.0,4393568.0,5936.0,,,3040.0,,145.0,34116.089655172414
