fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2016,581059,670110,,11/03/2015,12/31/2015,2,,,,,,,,,
2016,582655,174020,,11/05/2015,12/31/2015,4,696073.0,1374513.0,4104.0,,,188.0,,105.0,6629.266666666666
2016,592408,224042,,03/07/2016,06/30/2016,3,,,,,,,,,
2016,592658,224041,,11/20/2015,12/31/2015,4,1694372.0,6093311.0,5040.0,,,499.0,,416.0,4073.0096153846152
2016,594731,514011,,10/01/2015,09/30/2016,3,,,,,,,,,
2016,595228,341317,,10/01/2015,09/30/2016,4,17142152.0,18638139.0,9150.0,20328.0,,1151.0,59.0,235.0,72945.32765957447
2016,595524,364045,,07/01/2016,10/26/2016,4,,,,,,,,,
2016,595567,291313,,10/12/2015,12/31/2015,2,8934338.0,7944942.0,2025.0,23529.0,,463.0,271.0,350.0,25526.68
2016,595613,104073,,11/01/2015,10/31/2016,4,21804878.0,17912662.0,31476.0,,,3852.0,,2506.0,8701.06863527534
2016,596709,414003,,10/01/2015,09/30/2016,3,,,,,,,,,
2016,596829,064025,,01/01/2016,02/01/2016,4,363440.0,973769.0,960.0,,,72.0,,19.0,19128.42105263158
2016,596840,261339,,01/01/2016,03/10/2016,2,791484.0,1655671.0,568.0,1320.0,,32.0,3.0,18.0,43971.333333333336
2016,597178,014015,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,597289,014014,,10/01/2015,09/30/2016,3,,,,,,,,,
2016,597413,171302,,10/01/2015,09/30/2016,4,4205923.0,4844557.0,4392.0,2232.0,,1012.0,,39.0,107844.17948717948
2016,598355,363304,,01/01/2016,12/31/2016,5,,,,,,,,,
2016,598364,263304,,01/01/2016,12/31/2016,4,,,,,,,,,
2016,598610,344031,,01/07/2016,12/31/2016,5,,,,,,,,,
2016,598611,423300,,01/01/2016,12/31/2016,5,,,,,,,,,
2016,599348,454137,,10/23/2015,12/31/2015,4,385152.0,1823979.0,1680.0,,,428.0,,34.0,11328.0
2016,599560,453312,,01/01/2016,12/31/2016,4,,,,,,,,,
2016,599570,194112,,10/06/2015,12/31/2015,6,272820.0,1033732.0,6102.0,,,155.0,117.0,92.0,2965.4347826086955
2016,599577,232039,,10/01/2015,09/30/2016,4,5865414.0,6305984.0,10980.0,,,2418.0,29.0,173.0,33904.12716763006
2016,599933,491306,,01/01/2016,12/31/2016,4,11822913.0,12138106.0,9150.0,33336.0,,3256.0,12.0,343.0,34469.13411078717
2016,600281,264018,,01/01/2016,11/14/2016,2,,,,,,,,,
2016,600643,171356,,10/01/2015,09/30/2016,11,9400577.0,10500899.0,3660.0,,,817.0,2.0,86.0,109309.03488372093
2016,600644,171357,,10/01/2015,09/30/2016,4,4207482.0,5473757.0,5490.0,9648.0,,792.0,,163.0,25812.77300613497
2016,600686,453308,,01/01/2016,12/31/2016,2,,,,,,,,,
2016,600687,453309,,01/01/2016,12/31/2016,1,,,,,,,,,
2016,600747,183300,,01/01/2016,12/31/2016,2,,,,,,,,,
2016,600749,363308,,01/01/2016,12/31/2016,2,,,,,,,,,
2016,600801,453311,,01/01/2016,12/31/2016,2,,,,,,,,,
2016,600831,304001,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,600920,344028,,01/01/2016,12/31/2016,4,,,,,,,,,
2016,601069,670109,,01/01/2016,12/31/2016,5,,,,,,,,,
2016,601192,333301,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,601199,143302,,01/01/2016,12/31/2016,6,,,,,,,,,
2016,601200,243303,,01/01/2016,12/31/2016,6,,,,,,,,,
2016,601201,244016,,01/01/2016,12/31/2016,6,,,,,,,,,
2016,601293,103303,,01/01/2016,12/31/2016,4,,,,,,,,,
2016,601424,223303,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,601425,223304,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,601427,232020,,10/01/2015,09/30/2016,2,6358398.0,7131779.0,11346.0,,,5060.0,161.0,360.0,17662.216666666667
2016,601572,152027,,11/01/2015,10/31/2016,6,11513213.0,12604701.0,17568.0,,,4458.0,,326.0,35316.60429447853
2016,601575,362023,,11/01/2015,10/31/2016,6,17049564.0,15092166.0,15372.0,,,5752.0,705.0,435.0,39194.4
2016,601611,330387,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,601612,330409,,01/01/2016,12/31/2016,3,,,,,,,,,
2016,601864,171328,,10/01/2015,09/30/2016,9,5164941.0,6060917.0,9150.0,9168.0,,1335.0,,114.0,45306.5
2016,601960,261306,,11/01/2015,10/31/2016,9,8452967.0,10216591.0,2562.0,10136.0,,1474.0,67.0,150.0,56353.113333333335
2016,601963,281330,,10/01/2015,09/30/2016,8,4985924.0,5769600.0,4392.0,497.7,,659.0,,10.0,498592.4
2016,602246,171320,,10/01/2015,09/30/2016,4,4196745.0,5442354.0,5490.0,11208.0,,880.0,2.0,147.0,28549.285714285714
2016,602537,111319,,01/01/2016,03/31/2016,4,2239289.0,2335565.0,910.0,936.0,,654.0,60.0,9.0,248809.88888888888
2016,602937,281319,,10/01/2015,09/30/2016,2,17944391.0,18611747.0,6222.0,14048.0,,1118.0,39.0,200.0,89721.955
2016,603122,371314,,10/01/2015,09/30/2016,4,23379989.0,35035667.0,9150.0,15132.0,,2129.0,66.0,194.0,120515.40721649484
2016,603471,111319,,04/01/2016,06/30/2016,13,2317173.0,2506899.0,910.0,1032.0,,642.0,5.0,102.0,22717.382352941175
2016,603676,271339,,10/01/2015,09/30/2016,7,,44607155.0,8784.0,10368.0,,97.0,,165.0,
2016,603747,044013,,06/01/2016,05/31/2017,4,,,,,,,,,
2016,603750,144039,,07/01/2016,06/30/2017,4,,,,,,,,,
2016,603776,373300,,07/01/2016,06/30/2017,4,,,,,,,,,
2016,603881,133027,,01/01/2016,05/31/2016,4,4677759.0,4807508.0,4560.0,,,2656.0,73.0,254.0,18416.37401574803
2016,604711,334064,,04/01/2016,03/31/2017,3,,,,,,,,,
2016,604712,334065,,04/01/2016,03/31/2017,3,,,,,,,,,
2016,604714,334066,,04/01/2016,03/31/2017,3,,,,,,,,,
2016,608278,281365,,10/01/2015,09/30/2016,2,17646302.0,16586040.0,8418.0,33591.0,,1266.0,106.0,456.0,38698.03070175439
2016,608419,151320,,10/01/2015,09/30/2016,9,35573549.0,41218166.0,9150.0,60288.0,,1846.0,,779.0,45665.65982028241
2016,608437,372021,,06/01/2016,08/19/2016,4,999789.0,3210622.0,4050.0,,,1531.0,,74.0,13510.662162162162
2016,608625,171361,,10/01/2015,09/30/2016,9,12269933.0,14145276.0,9150.0,40104.0,,2400.0,37.0,508.0,24153.411417322834
2016,608706,490129,,01/01/2016,12/31/2016,2,85835785.0,91315484.0,,,,,,,
2016,608858,341314,,10/01/2015,09/30/2016,4,6036529.0,8962459.0,9150.0,16848.0,,893.0,105.0,210.0,28745.376190476192
2016,608940,451378,,10/01/2015,09/30/2016,4,20077571.0,22411602.0,9150.0,47784.0,,1090.0,77.0,689.0,29140.161103047896
2016,608993,014013,,07/01/2016,06/30/2017,3,,,,,,,,,
2016,608994,224042,,07/01/2016,06/30/2017,3,,,,,,,,,
2016,609026,281320,,10/01/2015,09/30/2016,2,20929025.0,22947539.0,5124.0,16713.0,,1154.0,62.0,213.0,98258.33333333333
2016,609159,424013,,07/01/2016,06/30/2017,5,,,,,,,,,
2016,609160,493302,,07/01/2016,06/30/2017,4,,,,,,,,,
2016,609162,184006,,07/01/2016,06/30/2017,6,,,,,,,,,
2016,609349,251309,,10/01/2015,09/30/2016,9,16660633.0,19069092.0,5915.0,35655.0,,2906.0,248.0,414.0,40243.07487922705
2016,609351,451362,,10/01/2015,09/30/2016,9,4745392.0,7447758.0,9150.0,7728.0,,389.0,,127.0,37365.291338582676
2016,609431,051318,,07/01/2016,06/30/2017,2,50433443.0,42506219.0,9125.0,112272.0,,2458.0,318.0,1279.0,39431.93354182955
2016,609468,171367,,01/01/2016,12/31/2016,9,11042277.0,14171814.0,7686.0,,,1858.0,34.0,469.0,23544.30063965885
2016,609591,171310,,01/01/2016,12/31/2016,9,7602400.0,10579122.0,5856.0,12480.0,,894.0,,191.0,39803.141361256545
2016,609740,184014,,01/01/2016,12/31/2016,4,16988017.0,11373800.0,35502.0,,,982.0,38.0,1589.0,10691.011327879169
2016,609767,364056,,07/27/2016,12/31/2016,4,3706157.0,4238587.0,4424.0,,,2870.0,,218.0,17000.72018348624
2016,610010,264028,,07/01/2016,06/30/2017,10,,,,,,,,,
2016,610698,151304,,01/01/2016,12/31/2016,2,27668207.0,30083255.0,9150.0,46344.0,,1652.0,10.0,604.0,45808.28973509934
2016,611518,033303,,11/05/2015,07/31/2016,3,,,,,,,,,
2016,611870,184013,,07/01/2016,06/30/2017,6,,,,,,,,,
2016,612462,231307,,10/01/2015,09/30/2016,9,20607911.0,21847691.0,8784.0,32753.0,,1776.0,51.0,435.0,47374.50804597701
2016,612524,104008,,10/01/2015,09/30/2016,2,24294392.0,24997527.0,16104.0,,,1302.0,,1224.0,19848.359477124184
2016,612660,171337,,10/01/2015,09/30/2016,4,11906125.0,11562687.0,8418.0,7008.0,,1398.0,,101.0,117882.42574257425
2016,612662,261327,,11/01/2015,10/31/2016,9,26910510.0,22043182.0,9150.0,38679.0,,2156.0,79.0,594.0,45303.88888888889
2016,612709,161324,,10/01/2015,09/30/2016,2,11138284.0,11068986.0,9150.0,9449.35,,1166.0,10.0,129.0,86343.28682170542
2016,612712,171323,,01/01/2016,12/31/2016,9,2446193.0,4421760.0,9150.0,1439.0,,484.0,,24.0,101924.70833333333
2016,612812,161354,,01/01/2016,12/31/2016,2,18124440.0,18594486.0,9150.0,23490.0,,1722.0,38.0,260.0,69709.38461538461
2016,612815,171349,,10/01/2015,09/30/2016,2,11220516.0,16081524.0,8052.0,25944.0,,1821.0,,367.0,30573.613079019073
