fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2011,1022,271326,,01/01/2011,12/31/2011,2,8661723.0,10224482.0,9125.0,9840.0,,922.0,10.0,155.0,55882.08387096774
2011,1501,013025,,01/01/2011,12/31/2011,4,39554420.0,28191835.0,36500.0,,,23060.0,230.0,2390.0,16549.96652719665
2011,1504,103037,,01/01/2011,12/31/2011,4,20242022.0,15733902.0,25550.0,,,13304.0,699.0,1370.0,14775.198540145986
2011,1506,103042,,01/01/2011,12/31/2011,4,26136744.0,21786350.0,29200.0,,,18132.0,214.0,1495.0,17482.771906354516
2011,1507,141990,,01/01/2011,12/31/2011,1,116445.0,486669.0,6205.0,,,31.0,,11.0,10585.90909090909
2011,1508,143028,,01/01/2011,12/31/2011,5,21491560.0,17663089.0,18250.0,,,10259.0,865.0,1202.0,17879.83361064892
2011,1512,313029,,01/01/2011,12/31/2011,4,44043990.0,33347786.0,35770.0,,,25228.0,256.0,2164.0,20353.04528650647
2011,1521,453059,,01/01/2011,12/31/2011,4,19617391.0,17370351.0,32064.0,,,10009.0,,1044.0,18790.604406130267
2011,1522,493028,,01/01/2011,12/31/2011,4,16883629.0,12951158.0,14600.0,,,9118.0,1146.0,936.0,18038.06517094017
2011,1523,513026,,01/01/2011,12/31/2011,4,13369012.0,9532772.0,21900.0,,,7844.0,24.0,807.0,16566.309789343246
2011,1524,513027,,01/01/2011,12/31/2011,4,18633279.0,14348781.0,18250.0,,,13818.0,14.0,1274.0,14625.807692307691
2011,1525,513030,,01/01/2011,12/31/2011,5,27660190.0,24448107.0,29200.0,,,16036.0,418.0,1602.0,17266.03620474407
2011,1659,010062,,10/01/2010,09/30/2011,9,21045098.0,21210677.0,26645.0,,616112.0,4130.0,627.0,1493.0,14095.845947756196
2011,1664,033028,,01/01/2011,12/31/2011,5,24475646.0,20391171.0,29200.0,,,14293.0,878.0,1496.0,16360.725935828877
2011,1669,103032,,01/01/2011,12/31/2011,4,22369085.0,17670061.0,32850.0,,,15682.0,383.0,1288.0,17367.30201863354
2011,1675,203025,,01/01/2011,12/31/2011,5,31979408.0,24909598.0,32850.0,,,17892.0,1655.0,1923.0,16629.95735829433
2011,1678,313035,,01/01/2011,12/31/2011,5,25060611.0,17712932.0,21900.0,,,12501.0,242.0,1383.0,18120.47071583514
2011,1680,423026,,01/01/2011,12/31/2011,4,17927937.0,15016787.0,32120.0,,,12975.0,,1120.0,16007.086607142857
2011,1704,463025,,01/01/2011,12/31/2011,4,11141004.0,11856306.0,22995.0,,,4441.0,,601.0,18537.444259567386
