fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2012,7716,330409,,10/17/2011,12/31/2011,4,,,,,,,,,
2012,7952,150178,,01/01/2012,03/23/2012,2,,,,,,,,,
2012,9287,424013,,10/11/2011,06/30/2012,8,,,,,,,,,
2012,9761,154056,,01/06/2012,06/30/2012,2,,,,,,,,,
2012,12253,010171,,03/14/2012,05/30/2012,2,1589782.0,2320030.0,1950.0,,20808.0,132.0,15.0,62.0,25641.645161290322
2012,12591,264028,,02/09/2012,06/30/2012,2,,,,,,,,,
2012,514299,111326,,10/01/2011,09/30/2012,2,10451886.0,11976424.0,9150.0,16632.0,,1811.0,69.0,214.0,48840.588785046726
2012,514323,010095,,10/01/2011,09/30/2012,13,9598846.0,11029869.0,10220.0,,112304.0,1397.0,266.0,440.0,21815.55909090909
2012,514783,660001,,10/01/2011,09/30/2012,13,,23919696.0,27084.0,,,,,3999.0,
2012,514947,010018,,10/01/2011,09/30/2012,2,22992030.0,29214299.0,4392.0,,20688.0,73.0,16.0,85.0,270494.4705882353
2012,514951,010034,,10/01/2011,09/30/2012,2,24734437.0,28064542.0,13505.0,,561200.0,3329.0,689.0,1532.0,16145.193864229765
2012,514963,010169,,10/01/2011,09/30/2012,2,15595145.0,17342578.0,17934.0,,597300.0,4124.0,508.0,1398.0,11155.325464949929
2012,514966,014009,,10/01/2011,09/30/2012,2,11816193.0,12623241.0,28914.0,,,4455.0,,677.0,17453.756277695717
2012,514972,111313,,10/01/2011,09/30/2012,9,15916508.0,18205580.0,9150.0,50284.0,,1335.0,158.0,792.0,20096.60101010101
2012,514978,440016,,10/01/2011,09/30/2012,1,14871793.0,17453222.0,25620.0,,250472.0,2199.0,,567.0,26228.911816578482
2012,515009,031311,,10/01/2011,09/30/2012,2,29510873.0,23580021.0,9150.0,83160.0,,1079.0,1426.0,1308.0,22561.829510703363
2012,515068,014012,,10/01/2011,09/30/2012,10,19361298.0,19413486.0,46116.0,,,9013.0,,353.0,54847.86968838527
2012,515109,441315,,10/01/2011,09/30/2012,2,12126869.0,12227929.0,7686.0,88152.0,,3250.0,307.0,830.0,14610.685542168674
2012,515279,110150,,10/01/2011,09/30/2012,9,75432290.0,71000450.0,38430.0,,927756.0,6631.0,1794.0,3522.0,21417.458830210107
2012,515281,111332,,10/01/2011,09/30/2012,2,9735220.0,11895358.0,9150.0,22422.0,,2567.0,102.0,281.0,34644.91103202847
2012,515346,011300,,10/01/2011,09/30/2012,9,11912359.0,12750091.0,5475.0,16680.0,,1619.0,56.0,250.0,47649.436
2012,515367,110121,,10/01/2011,09/30/2012,2,20134092.0,20327060.0,16836.0,,330984.0,3067.0,366.0,1081.0,18625.432007400555
2012,515423,310120,,07/01/2012,09/29/2012,1,64077053.0,74351495.0,3731.0,,64736.0,325.0,,158.0,405550.9683544304
2012,515670,320061,,10/01/2011,09/30/2012,7,,,,,,,,,
2012,515674,370172,,10/01/2011,09/30/2012,7,,,,,,,,,
2012,515681,020018,,10/01/2011,09/30/2012,7,,,,,,,,,
2012,515684,030073,,10/01/2011,09/30/2012,7,,,,,,,,,
2012,515687,030078,,10/01/2011,09/30/2012,7,,,,,,,,,
2012,515688,240206,,10/01/2011,09/30/2012,7,,,,,,,,,
