ccn,first_year,last_year,n_years,any_merger,treated,fac_name,unaccounted_disappearance,likely_missed_merger,disappearance_year
110205,2011,2015,5,0,0,NORTH GEORGIA MEDICAL CENTER,1,1,2016
111303,2011,2018,8,0,0,JASPER MEMORIAL HOSPITAL,1,1,2019
111315,2011,2014,4,0,0,CHARLTON MEMORIAL HOSPITAL,1,1,2015
111321,2011,2013,3,0,0,"LOWER OCONEE COMMUNITY HOSPITAL, INC",1,1,2014
111322,2011,2013,3,0,0,STEWART WEBSTER HOSPITAL,1,1,2014
112005,2011,2016,6,0,0,,1,1,2017
112009,2011,2017,7,0,0,,1,1,2018
112014,2011,2017,7,0,0,,1,1,2018
112015,2011,2018,8,0,0,,1,1,2019
114015,2011,2013,3,0,0,,1,1,2014
114021,2011,2013,3,0,0,,1,1,2014
121304,2011,2015,5,0,0,KAHUKU MEDICAL CENTER,1,1,2016
121305,2011,2018,6,0,1,LANAI COMMUNITY HOSPITAL,0,0,2019
130067,2012,2018,7,0,0,IDAHO DOCTORS HOSPITAL,1,1,2019
132003,2011,2017,7,0,0,,1,1,2018
133025,2011,2014,4,0,0,,1,1,2015
134011,2011,2015,5,0,0,,1,1,2016
134014,2011,2014,4,0,0,,1,1,2015
140026,2011,2014,4,0,0,ST MARYS HOSPITAL,1,1,2015
140051,2011,2013,3,0,0,SKOKIE HOSPITAL,1,1,2014
140176,2011,2017,7,0,0,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,1,1,2018
141329,2011,2018,8,0,0,MORRISON COMMUNITY HOSPITAL,1,1,2019
142014,2011,2018,8,0,0,,1,1,2019
150003,2011,2014,4,0,0,AHHS CRYSTAL LAKE BRANCH OFFICE,1,1,2015
150038,2011,2015,5,1,1,INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC,0,0,2016
150129,2011,2015,5,1,1,WESTVIEW HOSPITAL,0,0,2016
150154,2011,2014,4,0,0,INDIANA HEART HOSPITAL THE,1,1,2015
150163,2011,2013,3,0,0,SAINT CATHERINE REGIONAL HOSPITAL,1,1,2014
150164,2011,2014,4,0,1,MONROE HOSPITAL,0,0,2015
150175,2011,2018,8,0,0,THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,1,1,2019
150182,2013,2018,6,0,0,FRANCISCAN ST FRANCIS HEALTH - CARMEL,1,1,2019
152008,2011,2016,6,0,0,,1,1,2017
152016,2011,2016,6,0,0,,1,1,2017
152018,2011,2017,7,0,0,,1,1,2018
152021,2011,2014,4,0,0,,1,1,2015
152026,2011,2014,4,0,0,,1,1,2015
154062,2015,2017,3,0,0,,1,1,2018
162002,2011,2016,6,0,0,GENTIVA HEALTH SERVICES,1,1,2017
164004,2011,2014,4,0,0,,1,1,2015
164005,2011,2014,4,0,0,,1,1,2015
170001,2011,2013,3,0,0,NEWMAN REGIONAL HEALTH,1,1,2014
170010,2011,2015,5,0,0,MERCY HOSPITAL OF KANSAS INDEPENDENCE,1,1,2016
170058,2011,2018,8,0,0,MERCY HEALTH CENTER,1,1,2019
170094,2011,2017,7,0,0,COFFEY COUNTY HOSPITAL,1,1,2018
170195,2011,2013,3,0,0,HEARTLAND SURGICAL SPEC HOSPITAL,1,1,2014
170201,2011,2016,6,0,0,"BLUE VALLEY HOSPITAL, INC",1,1,2017
171308,2011,2018,8,0,0,ST JOHNS MAUDE NORTON MEMORIAL HOSPITAL,1,1,2019
171320,2011,2018,8,0,0,HORTON COMMUNITY HOSPITAL,1,1,2019
171366,2011,2017,7,0,0,HARPER HOSPITAL DISTRICT NO 5,1,1,2018
172003,2011,2017,7,0,0,,1,1,2018
172006,2011,2015,5,0,0,,1,1,2016
174004,2011,2015,5,0,0,,1,1,2016
174010,2011,2013,3,0,0,,1,1,2014
180021,2011,2018,8,0,0,PINEVILLE COMMUNITY HOSPITAL,1,1,2019
180117,2011,2014,4,0,0,PARKWAY REGIONAL HOSPITAL,1,1,2015
181303,2011,2013,3,0,0,NICHOLAS COUNTY HOSPITAL,1,1,2014
181312,2011,2015,5,0,0,NEW HORIZONS MEDICAL CENTER,1,1,2016
183300,2014,2017,4,0,0,,1,1,2018
190001,2011,2013,3,0,0,,1,1,2014
190003,2011,2015,5,0,0,DAUTERIVE HOSPITAL,1,1,2016
190009,2011,2013,3,0,0,HUEY P LONG MEDICAL CENTER,1,1,2014
190175,2011,2014,4,0,0,RIVER PARISHES HOSPITAL,1,1,2015
190177,2011,2017,7,0,0,LAKEVIEW REGIONAL MEDICAL CENTER,1,1,2018
190199,2011,2017,7,0,0,VILLA FELICIANA MEDICAL COMPLEX,1,1,2018
190205,2011,2018,8,0,0,THE REGIONAL MEDICAL CENTER OF ACADIANA,1,1,2019
190236,2011,2017,7,0,0,WILLIS KNIGHTON BOSSIER HEALTH CENTER,1,1,2018
190242,2011,2018,8,0,0,ST ELIZABETH HOSPITAL,1,1,2019
190246,2011,2018,8,0,0,P & S SURGICAL HOSPITAL,1,1,2019
190250,2011,2016,6,0,0,"LOUISIANA MEDICAL CENTER AND HEART HOSPITAL, LLC",1,1,2017
190257,2011,2014,4,0,0,GREEN CLINIC SURGICAL HOSPITAL,1,1,2015
190261,2011,2015,5,0,0,OUACHITA COMMUNITY HOSPITAL,1,1,2016
190297,2011,2017,7,0,0,DOCTORS HOSPITAL AT DEER CREEK LLC,1,1,2018
190307,2011,2018,4,0,0,SOUTH CAMERON MEMORIAL HOSPITAL,1,1,2019
191306,2011,2018,8,0,0,WEST FELICIANA PARISH HOSPITAL CAH,1,1,2019
192019,2011,2018,8,0,0,,1,1,2019
192020,2011,2013,3,0,0,,1,1,2014
192024,2011,2013,3,0,0,,1,1,2014
192025,2011,2013,3,0,0,,1,1,2014
192033,2011,2017,7,0,0,,1,1,2018
192040,2011,2018,8,0,0,,1,1,2019
192046,2011,2014,4,0,0,,1,1,2015
192049,2011,2018,8,0,0,,1,1,2019
192050,2011,2014,4,0,0,,1,1,2015
192051,2011,2015,5,0,0,,1,1,2016
193089,2011,2014,4,0,0,,1,1,2015
194025,2011,2014,4,0,0,,1,1,2015
194075,2011,2016,6,0,0,,1,1,2017
194076,2011,2013,3,0,0,,1,1,2014
194078,2011,2018,8,0,0,,1,1,2019
194097,2011,2016,6,0,0,,1,1,2017
200002,2011,2013,3,0,0,MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE,1,1,2014
200025,2011,2015,5,0,0,PARKVIEW ADVENTIST MEDICAL CENTER,1,1,2016
200040,2011,2014,4,0,0,HENRIETTA D GOODALL HOSPITAL,1,1,2015
204007,2011,2013,3,0,0,,1,1,2014
210055,2011,2018,8,0,1,LAUREL REGIONAL MEDICAL CENTER,0,0,2019
213301,2011,2018,8,0,0,,1,1,2019
214013,2011,2018,8,0,0,,1,1,2019
220050,2011,2016,6,0,0,BAYSTATE MARY LANE HOSPITAL,1,1,2017
220051,2011,2014,4,0,0,NORTH ADAMS REGIONAL HOSPITAL,1,1,2015
220058,2011,2017,7,0,0,CLINTON HOSPITAL ASSOCIATION,1,1,2018
220067,2011,2014,4,1,1,QUINCY MEDICAL CENTER,0,0,2015
220082,2011,2014,4,0,0,SAINTS  MEDICAL CENTER INC,1,1,2015
220154,2011,2014,4,0,0,,1,1,2015
220172,2011,2013,3,0,0,,1,1,2014
220174,2011,2014,4,1,1,MERRIMACK VALLEY HOSPITAL,0,0,2015
222010,2011,2013,3,0,0,,1,1,2014
222025,2011,2014,4,0,0,,1,1,2015
222026,2011,2015,5,0,0,,1,1,2016
222044,2011,2017,6,0,0,,1,1,2018
222045,2011,2017,6,0,0,,1,1,2018
224033,2012,2016,5,0,0,,1,1,2017
230004,2011,2014,4,0,1,"MERCY HEALTH PARTNERS, MERCY CAMPUS",0,0,2015
230040,2011,2018,8,0,1,PENNOCK HOSPITAL,0,0,2019
230106,2011,2013,3,0,0,SPECTRUM HEALTH GERBER MEMORIAL,1,1,2014
231317,2011,2015,5,0,0,,1,1,2016
231335,2011,2013,3,0,0,WEST SHORE MEDICAL CENTER,1,1,2014
232025,2011,2014,4,0,0,,1,1,2015
232026,2011,2017,7,0,0,,1,1,2018
232027,2011,2017,7,0,0,,1,1,2018
232030,2011,2017,7,0,0,,1,1,2018
232032,2011,2017,7,0,0,,1,1,2018
232038,2011,2017,7,0,0,,1,1,2018
233025,2011,2014,4,0,0,,1,1,2015
233029,2011,2013,3,0,0,,1,1,2014
240061,2011,2013,3,0,0,MAYO CLINIC METHODIST HOSPITAL,1,1,2014
240117,2011,2013,3,0,0,MAYO CLINIC HEALTH SYSTEM - AUSTIN,1,1,2014
240132,2011,2016,6,0,0,UNITY HOSPITAL,1,1,2017
240196,2011,2013,3,0,0,PHILLIPS EYE INSTITUTE,1,1,2014
241331,2011,2015,5,0,0,ALBANY AREA HOSPITAL,1,1,2016
241352,2011,2018,8,0,0,MAYO CLINIC HEALTH SYSTEM - SPRINGFIELD,1,1,2019
243303,2011,2018,8,0,0,,1,1,2019
244010,2011,2016,6,0,0,,1,1,2017
250010,2011,2015,5,0,0,TIPPAH COUNTY HOSPITAL,1,1,2016
250015,2011,2014,4,0,1,GRENADA LAKE MEDICAL CENTER,0,0,2015
250017,2011,2018,8,0,0,TRACE REGIONAL HOSP AND SWING BED,1,1,2019
250051,2011,2013,3,0,0,KILMICHAEL HOSPITAL,1,1,2014
250059,2011,2014,4,0,0,MONTFORT JONES MEMORIAL HOSPITAL,1,1,2015
250081,2011,2015,5,1,1,ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,0,0,2016
250122,2011,2015,5,0,1,NATCHEZ COMMUNITY HOSPITAL/SWING BED,0,0,2016
250126,2011,2017,7,0,0,NORTH OAK REGIONAL MEDICAL CENTER,1,1,2018
250163,2011,2015,3,0,0,PATIENTS CHOICE MEDICAL CENTER,1,1,2016
251314,2011,2016,6,0,0,QUITMAN COUNTY HOSPITAL CAH,1,1,2017
251332,2012,2015,4,0,0,PIONEER HEALTH SERVICES OF NEWTON,1,1,2016
252009,2011,2017,7,0,0,,1,1,2018
252010,2011,2016,6,0,0,,1,1,2017
252012,2011,2016,6,0,0,,1,1,2017
260004,2011,2018,8,0,1,COOPER COUNTY MEMORIAL HOSPITAL,0,0,2019
260015,2011,2018,8,0,1,TWIN RIVERS REGIONAL MEDICAL CENTER,0,0,2019
260080,2011,2018,8,0,0,RIPLEY COUNTY MEMORIAL HOSPITAL,1,1,2019
260116,2011,2015,5,0,0,MINERAL AREA REGIONAL MEDICAL CENTER,1,1,2016
260147,2011,2014,4,0,0,SAC-OSAGE HOSPITAL,1,1,2015
260207,2011,2016,5,0,0,OZARKS COMMUNITY HOSPITAL,1,1,2017
260229,2013,2015,3,0,0,,1,1,2016
262001,2011,2014,4,0,0,ST VINCENT HOME HEALTH CARE,1,1,2015
262011,2011,2017,7,0,0,,1,1,2018
262012,2011,2013,3,0,0,,1,1,2014
262014,2011,2018,8,0,0,,1,1,2019
264007,2011,2017,7,0,0,,1,1,2018
264016,2011,2013,3,0,0,,1,1,2014
264018,2011,2016,6,0,0,,1,1,2017
264027,2011,2013,3,0,0,,1,1,2014
264029,2012,2015,4,0,0,,1,1,2016
271304,2011,2018,8,0,0,MISSOURI RIVER MEDICAL CENTER,1,1,2019
280030,2011,2015,5,0,1,CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,0,0,2016
280119,2011,2014,4,0,0,WINNEBAGO IHS HOSPITAL,1,1,2015
281317,2011,2014,4,1,1,TILDEN COMMUNITY HOSPITAL,0,0,2015
290002,2011,2016,6,0,0,SOUTH LYON MEDICAL CENTER,1,1,2017
290006,2011,2015,5,0,0,BANNER CHURCHILL COMMUNITY HOSPITAL,1,1,2016
290020,2011,2014,4,0,0,NYE REGIONAL MEDICAL CENTER,1,1,2015
290051,2011,2015,5,0,0,SIERRA SURGERY HOSPITAL,1,1,2016
294008,2011,2016,6,0,0,,1,1,2017
312014,2013,2018,5,0,0,,1,1,2019
314026,2011,2018,8,0,0,,1,1,2019
320013,2011,2017,7,0,0,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1,1,2018
330037,2011,2013,3,0,0,LAKESIDE MEMORIAL HOSPITAL,1,1,2014
330053,2011,2014,4,0,0,MEDINA MEMORIAL HOSPITAL,1,1,2015
330061,2011,2018,8,0,1,LAWRENCE HOSPITAL CENTER,0,0,2019
330064,2011,2013,3,0,0,NEW YORK DOWNTOWN HOSPITAL,1,1,2014
330067,2011,2014,4,0,0,ST FRANCIS HOSPITAL,1,1,2015
330132,2011,2018,8,0,0,,1,1,2019
330167,2011,2018,8,0,1,WINTHROP-UNIVERSITY HOSPITAL,0,0,2019
330177,2011,2013,3,0,0,EDWARD JOHN  NOBLE HOSPITAL OF GOUVERNEUR,1,1,2014
330213,2011,2014,4,0,0,LEWIS COUNTY GENERAL HOSPITAL,1,1,2015
330225,2011,2013,3,0,0,LONG BEACH MEDICAL CENTER,1,1,2014
330232,2011,2018,8,1,1,SETON HEALTH SYSTEM-ST MARY'S CAMPUS,0,0,2019
330249,2011,2014,4,0,0,"COMMUNITY MEMORIAL HOSPITAL, INC",1,1,2015
330263,2011,2014,4,0,0,"CARTHAGE AREA HOSPITAL, INC",1,1,2015
330268,2011,2018,8,0,0,COBLESKILL REGIONAL HOSPITAL,1,1,2019
330306,2011,2015,5,0,0,LUTHERAN MEDICAL CENTER,1,1,2016
