fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2014,549185,104075,,11/22/2013,12/31/2013,4,,,,,,,,,
2014,550904,514011,,10/01/2013,09/30/2014,3,,,,,,,,,
2014,551676,660001,,10/01/2013,09/30/2014,13,,41490162.0,27010.0,,,,,3867.0,
2014,552210,341317,,10/01/2013,09/30/2014,4,28330707.0,24057979.0,9125.0,39912.0,,2348.0,50.0,509.0,55659.54223968566
2014,552412,431317,,10/01/2013,06/30/2014,2,2159967.0,2940212.0,9125.0,1990.95,,175.0,5.0,30.0,71998.9
2014,553260,014011,,10/01/2013,08/27/2014,10,,,,,,,,,
2014,554540,414003,,10/01/2013,09/30/2014,4,,,,,,,,,
2014,554918,344028,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,554935,092003,,01/01/2014,12/17/2014,4,30325933.0,33873738.0,29835.0,,,7239.0,2672.0,439.0,69079.57403189066
2014,555027,092002,,01/01/2014,12/17/2014,4,33158035.0,40852532.0,21060.0,,,5300.0,956.0,310.0,106961.40322580645
2014,555368,423300,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,555735,251332,,01/01/2014,12/31/2014,4,15489653.0,15487293.0,7665.0,37920.0,,3002.0,362.0,501.0,30917.47105788423
2014,555817,101308,,10/01/2013,12/31/2013,4,4725148.0,5351607.0,2300.0,17088.0,,704.0,66.0,178.0,26545.775280898877
2014,556153,263304,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,556196,363304,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,556511,453038,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,556516,453308,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,556631,453309,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,556790,193301,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,556812,344030,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,557030,491306,,01/01/2014,12/31/2014,4,13847147.0,12952824.0,9125.0,36912.0,,2591.0,25.0,429.0,32277.731934731935
2014,557389,454122,,11/07/2013,12/31/2013,4,525109.0,707622.0,1925.0,,,221.0,94.0,53.0,9907.716981132075
2014,557578,431318,,01/01/2014,06/30/2014,12,3242803.0,3189142.0,2172.0,3568.0,,364.0,3.0,71.0,45673.281690140844
2014,557633,670095,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,557868,342018,,02/01/2014,01/31/2015,10,14263179.0,13565334.0,10950.0,,,6588.0,,303.0,47073.19801980198
2014,558412,281317,,10/01/2013,06/30/2014,12,3063703.0,3736086.0,5460.0,1313.27,,264.0,3.0,18.0,170205.72222222222
2014,558638,453311,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,558704,244016,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,558708,183300,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,558710,364045,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,558791,194022,,10/01/2013,12/31/2013,4,2425206.0,2508599.0,6256.0,,,218.0,16.0,567.0,4277.259259259259
2014,558961,503302,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,559192,304001,,01/01/2014,12/31/2014,4,,,,,,,,,
2014,559203,143302,,01/01/2014,12/31/2014,1,,,,,,,,,
2014,559204,243303,,01/01/2014,12/31/2014,1,,,,,,,,,
2014,559240,330387,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,559343,333301,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,559375,223303,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,559376,223304,,01/01/2014,12/31/2014,5,,,,,,,,,
2014,559618,363308,,01/01/2014,12/31/2014,2,,,,,,,,,
2014,559653,152018,,12/01/2013,08/31/2014,4,13365086.0,10015525.0,8768.0,,,4839.0,,254.0,52618.44881889764
2014,560979,101305,,10/01/2013,09/30/2014,9,5930420.0,7779649.0,9125.0,16824.0,,630.0,57.0,247.0,24009.7975708502
2014,561527,451323,,10/01/2013,09/30/2014,1,13313620.0,13609050.0,9125.0,54147.0,,2346.0,61.0,721.0,18465.492371705965
2014,562387,232025,,10/01/2013,05/31/2014,2,5489856.0,9148768.0,6600.0,,,2062.0,,81.0,67776.0
2014,562389,192046,,01/01/2014,12/31/2014,4,12573649.0,12487689.0,14600.0,,,8884.0,21.0,421.0,29866.149643705463
2014,562397,034029,,03/28/2014,12/31/2014,4,12172278.0,10596425.0,23436.0,,,415.0,738.0,1123.0,10839.072128227961
2014,562502,034028,,01/01/2014,12/31/2014,4,19893668.0,17062332.0,27375.0,,,2052.0,365.0,2873.0,6924.353637312914
2014,562669,373300,,07/01/2014,06/30/2015,3,,,,,,,,,
2014,565649,452067,,03/18/2014,05/31/2014,4,1148266.0,1678223.0,4950.0,,,785.0,,35.0,32807.6
2014,565748,392050,,04/01/2014,06/30/2014,2,14126685.0,19405932.0,3458.0,,,1406.0,,77.0,183463.44155844155
2014,565754,034023,,10/01/2013,09/30/2014,2,1250669.0,19975381.0,5840.0,,,501.0,,474.0,2638.5421940928272
2014,565847,034024,,01/01/2014,12/31/2014,4,25473074.0,19822575.0,36500.0,,,2701.0,419.0,3980.0,6400.269849246231
2014,566153,154054,,01/01/2014,12/31/2014,4,10359049.0,6666075.0,16060.0,,,3707.0,6858.0,1514.0,6842.172391017173
2014,566290,154057,,01/01/2014,12/31/2014,4,10072834.0,10062711.0,14600.0,,,3745.0,1309.0,1050.0,9593.175238095238
2014,566291,154059,,01/01/2014,12/31/2014,4,10840048.0,9378274.0,17520.0,,,5238.0,211.0,1407.0,7704.369580668088
2014,566329,271329,,10/01/2013,09/30/2014,2,4822195.0,5871225.0,3650.0,6288.0,,480.0,16.0,82.0,58807.256097560974
2014,566389,104073,,11/01/2013,10/31/2014,4,17195416.0,14679387.0,31390.0,,,5380.0,,2944.0,5840.834239130435
2014,566548,344001,,07/01/2014,06/30/2015,10,,,,,,,,,
