ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
050272,REDLANDS COMMUNITY HOSPITAL,2012,2011.0,non_profit,government,2.0,8,0,0,1
050272,REDLANDS COMMUNITY HOSPITAL,2016,2015.0,government,non_profit,8.0,2,0,0,1
050280,MERCY MEDICAL CENTER REDDING,2015,2014.0,non_profit,for_profit,1.0,4,0,1,0
050280,MERCY MEDICAL CENTER REDDING,2017,2016.0,for_profit,non_profit,4.0,1,0,1,0
050350,BEVERLY HOSPITAL,2013,2012.0,non_profit,government,2.0,8,0,0,1
050350,BEVERLY HOSPITAL,2016,2015.0,government,non_profit,8.0,2,0,0,1
050394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
050435,,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
050454,UCSF MEDICAL CENTER,2014,2013.0,non_profit,government,1.0,10,0,0,1
050488,EDEN MEDICAL CENTER,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
050517,VICTOR VALLEY GLOBAL MEDICAL CENTER,2013,2012.0,non_profit,for_profit,2.0,4,0,1,0
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,2019,2018.0,non_profit,for_profit,2.0,4,0,0,1
050580,LA PALMA INTERCOMMUNITY HOSPITAL,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
050696,KECK HOSPITAL OF USC,2012,2011.0,for_profit,non_profit,4.0,2,0,0,1
050697,PATIENTS' HOSPITAL OF REDDING,2018,2017.0,for_profit,non_profit,6.0,3,0,0,1
050704,MISSION COMMUNITY HOSPITAL - PANORAMA,2013,2012.0,non_profit,for_profit,2.0,4,0,0,1
050723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,2013,2012.0,for_profit,non_profit,6.0,2,0,0,1
050740,MARINA DEL REY HOSPITAL,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
050754,MENLO PARK SURGICAL HOSPITAL,2013,2012.0,for_profit,non_profit,4.0,2,0,0,1
050755,SHERMAN OAKS HOSPITAL,2012,2011.0,for_profit,non_profit,4.0,2,0,0,1
050758,MONTCLAIR HOSPITAL MEDICAL CENTER,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
050758,MONTCLAIR HOSPITAL MEDICAL CENTER,2017,2016.0,non_profit,for_profit,2.0,4,0,0,1
050766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
050773,SAN LEANDRO HOSPITAL,2014,2013.0,non_profit,government,2.0,9,0,0,1
051334,OJAI VALLEY COMMUNITY HOSPITAL,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
053038,,2016,2015.0,non_profit,for_profit,2.0,4,0,0,1
053038,,2017,2016.0,for_profit,non_profit,4.0,3,0,0,1
053306,,2014,2013.0,non_profit,for_profit,2.0,4,0,0,1
053306,,2015,2014.0,for_profit,non_profit,4.0,2,0,0,1
053308,,2014,2013.0,for_profit,non_profit,5.0,2,0,0,1
053308,,2015,2014.0,non_profit,for_profit,2.0,4,0,0,1
053308,,2016,2015.0,for_profit,non_profit,4.0,2,0,0,1
053308,,2018,2017.0,non_profit,for_profit,2.0,4,0,0,1
053310,,2013,2012.0,for_profit,non_profit,6.0,2,0,0,1
053311,,2018,2017.0,non_profit,for_profit,2.0,4,0,0,1
053311,,2019,2018.0,for_profit,non_profit,4.0,2,0,0,1
054028,,2012,2011.0,non_profit,for_profit,2.0,4,0,0,1
054028,,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
054028,,2019,2018.0,non_profit,for_profit,2.0,4,0,0,1
054083,,2017,2016.0,non_profit,for_profit,2.0,4,0,0,1
054083,,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
054114,,2013,2012.0,government,for_profit,9.0,6,0,0,1
054114,,2014,2013.0,for_profit,non_profit,6.0,2,0,0,1
054114,,2016,2015.0,non_profit,government,1.0,9,0,0,1
054114,,2017,2016.0,government,non_profit,9.0,2,0,0,1
054114,,2018,2017.0,non_profit,government,2.0,9,0,0,1
054123,,2014,2013.0,for_profit,non_profit,4.0,1,0,0,1
054148,,2012,2011.0,for_profit,non_profit,4.0,2,0,0,1
054149,,2012,2011.0,for_profit,non_profit,4.0,3,0,0,1
054149,,2014,2013.0,non_profit,for_profit,2.0,6,0,0,1
054149,,2017,2016.0,for_profit,non_profit,4.0,2,0,0,1
054149,,2019,2018.0,non_profit,for_profit,1.0,4,0,0,1
054150,,2013,2012.0,for_profit,non_profit,4.0,2,0,0,1
054153,,2015,2014.0,non_profit,for_profit,2.0,4,0,0,1
060010,POUDRE VALLEY HOSPITAL,2012,2011.0,non_profit,for_profit,2.0,4,1,1,0
060010,POUDRE VALLEY HOSPITAL,2013,2012.0,for_profit,non_profit,4.0,2,0,1,0
060011,DENVER HEALTH MEDICAL CENTER,2015,2014.0,non_profit,government,2.0,10,0,0,1
060119,MEDICAL CENTER OF THE ROCKIES,2012,2011.0,non_profit,for_profit,2.0,4,1,1,0
060119,MEDICAL CENTER OF THE ROCKIES,2017,2016.0,for_profit,non_profit,4.0,2,0,1,0
061326,UCHEALTH PIKES PEAK REGIONAL HOSPITAL,2018,2017.0,for_profit,non_profit,4.0,2,0,1,0
062014,,2016,2015.0,for_profit,government,4.0,7,0,0,1
062015,,2012,2011.0,for_profit,government,4.0,10,0,0,1
062015,,2017,2016.0,government,for_profit,10.0,4,0,0,1
062016,,2012,2011.0,for_profit,government,4.0,10,0,0,1
062016,,2013,2012.0,government,for_profit,10.0,4,0,0,1
070005,WATERBURY HOSPITAL,2017,2016.0,non_profit,for_profit,2.0,4,0,1,0
070012,ROCKVILLE GENERAL HOSPITAL,2017,2016.0,non_profit,for_profit,2.0,4,0,1,0
070027,MANCHESTER MEMORIAL HOSPITAL,2017,2016.0,non_profit,for_profit,2.0,4,0,1,0
074015,,2018,2017.0,non_profit,for_profit,3.0,6,0,0,1
082000,,2012,2011.0,government,for_profit,10.0,4,0,0,1
100014,FLORIDA HOSPITAL NEW SMYRNA,2017,2016.0,government,non_profit,9.0,1,0,1,0
100023,CITRUS MEMORIAL HOSPITAL,2015,2014.0,non_profit,for_profit,2.0,4,0,1,0
100026,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,2013,2012.0,government,for_profit,9.0,4,0,1,0
100026,ASCENSION SACRED HEART BAY,2019,2018.0,for_profit,non_profit,4.0,1,1,1,0
100032,BAYFRONT HEALTH - ST PETERSBURG,2017,2016.0,non_profit,for_profit,2.0,4,0,1,0
100062,FLORIDA HOSPITAL OCALA,2018,2017.0,for_profit,non_profit,4.0,1,1,1,0
100063,MORTON PLANT NORTH BAY HOSPITAL,2012,2011.0,for_profit,non_profit,6.0,2,0,0,1
100067,ST ANTHONY'S HOSPITAL,2012,2011.0,for_profit,non_profit,6.0,2,0,1,0
100121,BARTOW REGIONAL MEDICAL CENTER,2016,2015.0,for_profit,non_profit,4.0,2,0,1,0
100134,ED FRASER MEMORIAL HOSPITAL,2016,2015.0,non_profit,government,2.0,9,0,0,1
100134,ED FRASER MEMORIAL HOSPITAL,2018,2017.0,government,non_profit,9.0,2,0,0,1
100137,ADVENTHEALTH HEART OF FLORIDA,2019,2018.0,for_profit,non_profit,4.0,1,1,1,0
100139,,2013,2012.0,non_profit,for_profit,2.0,4,0,0,1
100211,ADVENTHEALTH DADE CITY,2019,2018.0,for_profit,non_profit,4.0,2,0,1,0
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,2012,2011.0,non_profit,for_profit,1.0,6,0,1,0
