fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,647775,154053,,07/01/2017,06/30/2018,2,68782742.0,79029142.0,5840.0,,,1659.0,476.0,314.0,219053.31847133758
2017,647776,154060,,07/01/2017,06/30/2018,2,20705968.0,32060748.0,5840.0,,,914.0,199.0,595.0,34799.94621848739
2017,647794,192022,,06/01/2017,05/31/2018,4,11079009.0,11099200.0,20075.0,,,8479.0,19.0,450.0,24620.02
2017,647816,361326,,01/01/2017,12/31/2017,9,25961312.0,28308233.0,9125.0,67621.0,,2950.0,101.0,783.0,33156.20945083014
2017,647818,363303,,01/01/2017,12/31/2017,2,789469178.0,821440829.0,146730.0,,,731.0,6643.0,10233.0,77149.33821948597
2017,647821,372023,,10/01/2016,09/30/2017,13,3358815.0,3723785.0,1460.0,,,394.0,449.0,30.0,111960.5
2017,647838,451350,,10/01/2016,09/30/2017,11,7037230.0,11637529.0,6205.0,4416.0,,717.0,,56.0,125664.82142857143
2017,647854,033038,,01/01/2017,12/31/2017,4,18924865.0,18582056.0,18250.0,,,7098.0,82.0,989.0,19135.353892821033
2017,647905,271315,,10/01/2016,09/30/2017,7,,22630358.0,2190.0,216.0,,,,6.0,
2017,647972,451318,,10/01/2016,09/30/2017,11,6379885.0,8444859.0,7300.0,6298.0,,618.0,,82.0,77803.4756097561
2017,647973,451362,,10/01/2016,09/30/2017,9,4904016.0,8277655.0,9125.0,6456.0,,433.0,,86.0,57023.441860465115
2017,647994,024001,,01/01/2017,12/31/2017,1,,,,,,,,,
2017,648086,054032,,02/01/2017,01/31/2018,4,40100873.0,24351780.0,35405.0,,,3769.0,5973.0,5283.0,7590.549498391066
2017,648097,131316,,01/01/2017,12/31/2017,9,25160516.0,23786465.0,7665.0,23900.0,,1717.0,129.0,332.0,75784.68674698795
2017,648098,131328,,01/01/2017,12/31/2017,2,52245810.0,54225349.0,9125.0,120151.54,,1986.0,807.0,1762.0,29651.424517593645
2017,648106,154050,,07/01/2017,06/30/2018,2,13353815.0,16742249.0,5840.0,,,680.0,263.0,600.0,22256.358333333334
