fiscal_year,PRVDR_NUM,PRVDR_CTRL_TYPE_CD,total_operating_costs,total_discharges,cost_per_discharge,fac_name,hrrcode,merger_year,treated,years_to_merger
2011,110041,9,48559925.0,2408.0,20166.08181063123,HABERSHAM COUNTY MEDICAL CTR,144.0,,0,
2011,130007,1,470250147.0,15002.0,31345.83035595254,ST ALPHONSUS REGIONAL MEDICAL CENTER,151.0,2013.0,1,-2.0
2011,141304,2,12428366.0,210.0,59182.695238095235,MERCER COUNTY HOSPITAL,191.0,2013.0,1,-2.0
2011,324010,4,17643330.0,2200.0,8019.695454545455,,,,0,
2011,521311,2,18463479.0,298.0,61957.98322147651,OUR LADY OF VICTORY HSPTL,450.0,2013.0,1,-2.0
2011,201301,2,13911808.0,235.0,59199.1829787234,CHARLES A DEAN MEMORIAL HOSPITAL,221.0,,0,
2011,361312,1,25850129.0,949.0,27239.335089567965,MERCY MEMORIAL HOSPITAL,330.0,,0,
2011,381319,2,56709209.0,1399.0,40535.53180843459,ST ANTHONY HOSPITAL,344.0,2019.0,1,-8.0
2011,201306,2,36558675.0,967.0,37806.28231644261,RUMFORD  HOSPITAL,222.0,,0,
2011,301307,2,68927414.0,1422.0,48472.1617440225,"MEMORIAL HOSPITAL, THE",222.0,2014.0,1,-3.0
2011,370114,1,396454507.0,27033.0,14665.575666777642,"ST JOHN MEDICAL CENTER, INC",340.0,2013.0,1,-2.0
2011,41312,2,15903000.0,751.0,21175.765645805594,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,19.0,,0,
2011,100084,2,237210667.0,17263.0,13740.987487690436,LEESBURG REGIONAL MEDICAL CENTER,130.0,,0,
2011,40010,1,153446353.0,8682.0,17674.078898871227,MERCY MEDICAL CENTER,21.0,,0,
2011,43026,2,32750000.0,1664.0,19681.490384615383,,,,0,
2011,100291,4,69588051.0,5655.0,12305.579310344829,WUESTHOFF MEDICAL CENTER - MELBOURNE,130.0,2014.0,1,-3.0
2011,420026,1,233648906.0,12121.0,19276.372081511425,SISTERS OF CHARITY PROVIDENCE HOSPITALS,366.0,2016.0,1,-5.0
2011,440061,4,30876328.0,2347.0,13155.657435023437,VOLUNTEER COMMUNITY HOSPITAL,374.0,2018.0,1,-7.0
2011,40041,4,78398045.0,5399.0,14520.845526949435,ST MARYS REGIONAL MEDICAL CENTER,19.0,2016.0,1,-5.0
2011,520097,1,114587464.0,4726.0,24246.18366483284,ST MARYS HSPTL MED CTR,447.0,,0,
2011,390013,2,131321180.0,6732.0,19507.008318478907,EVANGELICAL COMMUNITY HOSPITAL,350.0,,0,
2011,453036,4,94795301.0,1589.0,59657.20641913153,,,,0,
2011,332006,1,97828799.0,3009.0,32512.063476237952,,,,0,
2011,224007,2,98993763.0,6081.0,16279.191415885543,,,,0,
2011,301302,2,66651828.0,1348.0,49444.976261127595,LITTLETON REGIONAL HOSPITAL,281.0,2016.0,1,-5.0
2011,50770,1,49252179.0,3257.0,15121.946269573227,,,,0,
2011,470011,2,57818090.0,1667.0,34683.917216556685,BRATTLEBORO MEMORIAL HOSPITAL,281.0,,0,
2011,50224,2,777723264.0,26517.0,29329.232718633328,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,23.0,2013.0,1,-2.0
2011,321306,2,34245233.0,1295.0,26444.195366795368,LINCOLN COUNTY MEDICAL CENTER,293.0,,0,
2011,524018,2,78089422.0,5232.0,14925.348241590214,,,,0,
2011,141309,1,14213335.0,501.0,28369.93013972056,ADVOCATE EUREKA  HOSPITAL,170.0,2018.0,1,-7.0
2011,110050,2,19086624.0,680.0,28068.564705882352,MURRAY MEDICAL CENTER,144.0,2014.0,1,-3.0
2011,520063,2,84875971.0,3650.0,23253.690684931506,ST JOSEPHS COM HSPTL WEST BEND,451.0,,0,
2011,80004,2,342220838.0,12469.0,27445.7324564921,BAYHEALTH - KENT GENERAL HOSPITAL,112.0,,0,
2011,241370,2,72348735.0,1381.0,52388.65677045619,ST GABRIELS HOSPITAL,251.0,2019.0,1,-8.0
2011,151324,9,28120277.0,1032.0,27248.330426356588,JASPER COUNTY HOSPITAL,184.0,2015.0,1,-4.0
2011,190060,2,171782763.0,8435.0,20365.47279193835,LAKE CHARLES MEMORIAL HOSPITAL,214.0,,0,
