fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge,ccn,fac_name,hrrcode,merger_target,merger_of_equals,bankruptcy,system_exit,system_split,system_id_yr,any_merger,merger_year,treated,years_to_merger,post_merger,match_pair_id
2011,515212,171358,,10/01/2010,09/30/2011,2,5774736.0,5982230.0,8819.0,20084.0,,1256.0,31.0,245.0,23570.351020408165,171358,LINDSBORG COMMUNITY HOSPITAL,201.0,0,0,0,0,0,1757.0,0,2015.0,1,-4.0,0,406
2011,515301,171342,,01/01/2011,12/31/2011,9,4698935.0,5575516.0,5840.0,7165.5,,951.0,5.0,94.0,49988.67021276596,171342,RUSH COUNTY MEMORIAL HOSPITAL,201.0,0,0,0,0,0,1752.0,0,,0,,0,141
2011,516285,281336,,10/01/2010,09/30/2011,2,35970248.0,36344054.0,9125.0,67808.0,,2064.0,324.0,871.0,41297.64408725603,281336,YORK GENERAL HOSPITAL,277.0,0,0,0,0,0,1696.0,0,,0,,0,345
2011,516425,521331,,10/01/2010,09/30/2011,2,20047286.0,19555329.0,9125.0,28814.0,,1380.0,64.0,414.0,48423.3961352657,521331,BURNETT MED CTR,251.0,0,0,0,0,0,1229.0,0,,0,,0,682
2011,516454,102025,,06/01/2011,05/31/2012,4,22552711.0,21101364.0,25620.0,,,7375.0,111.0,495.0,45561.03232323232,102025,,,0,0,0,0,0,,0,,0,,0,248
2011,516504,74014,,03/01/2011,02/29/2012,2,32101192.0,29445008.0,17934.0,,,1489.0,,1929.0,16641.3644375324,74014,,,0,0,0,0,0,,0,,0,,0,53
2011,516510,241349,,10/01/2010,09/30/2011,2,35414017.0,36399537.0,8395.0,31370.0,,1072.0,45.0,435.0,81411.53333333334,241349,PAYNESVILLE AREA HOSPITAL,254.0,0,0,0,0,0,1469.0,0,2013.0,1,-2.0,0,88
2011,516544,281330,,10/01/2010,09/30/2011,8,4980677.0,5169438.0,4380.0,778.0,,518.0,1.0,12.0,415056.4166666667,281330,WARREN MEMORIAL HOSPITAL,277.0,0,0,0,0,0,1665.0,0,,0,,0,840
2011,516585,194082,,01/01/2011,12/31/2011,4,5739668.0,4332148.0,5840.0,,,3534.0,,261.0,21991.065134099616,194082,,,0,0,0,0,0,,0,,0,,0,342
2011,516602,281334,,10/01/2010,09/30/2011,9,23048858.0,21733515.0,9125.0,39621.0,,2327.0,202.0,616.0,37416.97727272727,281334,BOONE COUNTY HEALTH CENTER,278.0,0,0,0,0,0,1643.0,0,,0,,0,621
2011,516632,131313,,10/01/2010,09/30/2011,9,11749674.0,12177173.0,4745.0,7064.35,,413.0,16.0,124.0,94755.43548387096,131313,TETON VALLEY HOSPITAL AND SURGICENTER,152.0,0,0,0,0,0,2268.0,0,,0,,0,559
2011,516636,271343,,01/01/2011,12/31/2011,2,24532299.0,25388144.0,8030.0,28717.0,,971.0,368.0,521.0,47086.9462571977,271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,276.0,0,0,0,0,0,243.0,0,2016.0,1,-5.0,0,529
2011,516788,51306,,07/01/2011,06/30/2012,2,13075159.0,13149767.0,5490.0,25400.0,,773.0,159.0,345.0,37899.0115942029,51306,GLENN MEDICAL CENTER,31.0,0,0,0,0,0,2590.0,0,,0,,0,35
2011,516802,101304,,01/01/2011,12/31/2011,9,8408723.0,9305769.0,5475.0,43320.0,,3516.0,157.0,478.0,17591.470711297072,101304,CALHOUN-LIBERTY HOSPITAL INC,140.0,0,0,0,0,0,897.0,0,2016.0,1,-5.0,0,488
2011,516980,171381,,01/01/2011,12/31/2011,11,21562076.0,22393022.0,7300.0,41182.85,,2885.0,70.0,528.0,40837.26515151515,171381,MEMORIAL HOSPITAL,200.0,0,0,0,0,0,1702.0,0,,0,,0,204
2011,517295,452092,,11/01/2010,10/31/2011,4,18500169.0,19746699.0,27010.0,,,12825.0,,599.0,30885.090150250417,452092,,,0,0,0,0,0,,0,,0,,0,203
2011,517849,102016,,09/01/2011,08/31/2012,4,14780229.0,13194292.0,10614.0,,,8416.0,50.0,975.0,15159.209230769233,102016,,,0,0,0,0,0,,0,,0,,0,743
2011,518127,521321,,10/01/2010,09/30/2011,2,14857662.0,23497765.0,9125.0,59664.0,,1106.0,41.0,553.0,26867.381555153708,521321,RIPON MED CTR,452.0,0,0,0,0,0,1250.0,0,2018.0,1,-7.0,0,861
2011,518316,131322,,10/01/2010,09/30/2011,9,13299711.0,14000231.0,7300.0,24636.0,,609.0,248.0,364.0,36537.66758241758,131322,FRANKLIN COUNTY MEDICAL CENTER,423.0,0,0,0,0,0,2273.0,0,,0,,0,783
2011,518354,131311,,10/01/2010,09/30/2011,11,23276158.0,24247355.0,9125.0,30581.0,,1641.0,321.0,472.0,49313.89406779661,131311,ELMORE MEDICAL CENTER,151.0,0,0,0,0,0,254.0,0,,0,,0,778
2011,518572,281339,,10/01/2010,09/30/2011,2,24939686.0,23585305.0,9125.0,41171.53,,2513.0,86.0,618.0,40355.47896440129,281339,MEMORIAL HEALTH CARE SYSTEMS,277.0,0,0,0,0,0,1689.0,0,,0,,0,674
2011,518679,171318,,10/01/2010,09/30/2011,8,3547626.0,3400071.0,5475.0,16128.0,,678.0,18.0,212.0,16734.084905660377,171318,SEDAN CITY HOSPITAL,340.0,0,0,0,0,0,1780.0,0,2013.0,1,-2.0,0,54
2011,518934,121305,,07/01/2011,06/30/2012,10,2532344.0,4796984.0,1464.0,1032.0,,,,18.0,140685.77777777778,121305,LANAI COMMUNITY HOSPITAL,150.0,0,0,0,0,0,253.0,0,2017.0,1,-6.0,0,658
2011,518938,54104,,02/01/2011,01/31/2012,4,34916882.0,20509986.0,45625.0,,,13036.0,6209.0,3928.0,8889.226578411406,54104,,,0,0,0,0,0,,0,,0,,0,601
2011,518940,291306,,01/01/2011,12/31/2011,2,38435192.0,37028759.0,8395.0,19608.0,,1910.0,80.0,817.0,47044.29865361077,291306,CARSON VALLEY MEDICAL CENTER,280.0,0,0,0,0,0,2389.0,0,2018.0,1,-7.0,0,800
2011,519027,362033,,03/01/2011,02/29/2012,4,17405194.0,16973168.0,23519.0,,,4689.0,1355.0,355.0,49028.715492957745,362033,,,0,0,0,0,0,,0,,0,,0,252
2011,519078,534004,,01/01/2011,12/31/2011,4,21658579.0,14501124.0,32850.0,,,1589.0,4130.0,1573.0,13768.96312778131,534004,SENIOR HOME CARE INC,457.0,0,0,0,0,0,2704.0,0,,0,,0,468
2011,519201,241362,,10/01/2010,09/30/2011,11,57901015.0,57664803.0,9125.0,98040.0,,1167.0,107.0,1552.0,37307.3550257732,241362,NEW RIVER MEDICAL CENTER,251.0,0,0,0,0,0,1462.0,0,2013.0,1,-2.0,0,89
2011,519572,102012,,01/01/2011,12/31/2011,4,29643039.0,30710153.0,39055.0,,,17502.0,,787.0,37665.86912325286,102012,,,0,0,0,0,0,,0,,0,,0,145
